domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value
ecological,chemical pollution,global doughnut,World,chemicalsMt,2000,NA,NA,1186
ecological,chemical pollution,global doughnut,World,chemicalsMt,2001,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2002,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2003,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2004,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2005,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2006,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2007,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2008,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2009,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2010,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2011,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2012,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2013,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2014,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2015,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2016,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2017,NA,NA,2276
ecological,chemical pollution,global doughnut,World,chemicalsMt,2018,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2019,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2020,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2021,NA,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt,2022,NA,NA,NA
ecological,chemical pollution,global doughnut,World,EUshare_hzdHealth,2000,NA,NA,76.59
ecological,chemical pollution,global doughnut,World,EUshare_hzdHealth,2001,NA,NA,76.59
ecological,chemical pollution,global doughnut,World,EUshare_hzdHealth,2002,NA,NA,76.59
ecological,chemical pollution,global doughnut,World,EUshare_hzdHealth,2003,NA,NA,76.59
ecological,chemical pollution,global doughnut,World,EUshare_hzdHealth,2004,NA,NA,76.59
ecological,chemical pollution,global doughnut,World,EUshare_hzdHealth,2005,NA,NA,76.59
ecological,chemical pollution,global doughnut,World,EUshare_hzdHealth,2006,NA,NA,76.59
