domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2000,NA,NA,132.2432713
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2001,NA,NA,134.93367778
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2002,NA,NA,137.62408426000002
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2003,NA,NA,140.31449074
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2004,NA,NA,143.00489722
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2005,NA,NA,145.6953037
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2006,NA,NA,148.6046776
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2007,NA,NA,151.5140515
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2008,NA,NA,154.4234254
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2009,NA,NA,157.3327993
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2010,NA,NA,160.2421732
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2011,NA,NA,163.24602382
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2012,NA,NA,166.24987444
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2013,NA,NA,169.25372506
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2014,NA,NA,172.25757568
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2015,NA,NA,175.2614263
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2016,NA,NA,178.13090856
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2017,NA,NA,181.00039082
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2018,NA,NA,183.86987308
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2019,NA,NA,186.73935534
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2020,NA,NA,189.6088376
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2021,NA,NA,191.97349848
ecological,nutrient pollution,global doughnut,World,nitrogenMt,2022,NA,NA,194.33815936
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2000,NA,NA,13.549286446478872
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2001,NA,NA,14.09326414225352
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2002,NA,NA,14.637241838028167
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2003,NA,NA,15.181219533802816
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2004,NA,NA,15.725197229577464
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2005,NA,NA,16.26917492535211
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2006,NA,NA,16.690833231549295
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2007,NA,NA,17.11249153774648
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2008,NA,NA,17.53414984394366
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2009,NA,NA,17.955808150140843
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2010,NA,NA,18.377466456338027
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2011,NA,NA,18.772538909295772
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2012,NA,NA,19.16761136225352
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2013,NA,NA,19.562683815211265
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2014,NA,NA,19.957756268169014
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2015,NA,NA,20.35282872112676
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2016,NA,NA,20.875580629577463
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2017,NA,NA,21.398332538028168
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2018,NA,NA,21.921084446478872
ecological,nutrient pollution,global doughnut,World,phosphorusMt,2019,NA,NA,22.443836354929577
