domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,social cohesion,World,socialSupport,2000,5697045316,11511.032635419455,NA
social,social cohesion,World,socialSupport,2001,5769703014,11642.650442749093,NA
social,social cohesion,World,socialSupport,2002,5842014420,11782.637161879571,NA
social,social cohesion,World,socialSupport,2003,5913980189,12066.579183707465,NA
social,social cohesion,World,socialSupport,2004,5986016444,12533.044783811456,NA
social,social cohesion,World,socialSupport,2005,6058334901,12942.937169723027,20.469479993522285
social,social cohesion,World,socialSupport,2006,6130799309,13461.392711498323,20.885365064945532
social,social cohesion,World,socialSupport,2007,6203692038,13991.259635488695,23.907729402858962
social,social cohesion,World,socialSupport,2008,6277951592,14190.348581759927,24.203065074118015
social,social cohesion,World,socialSupport,2009,6353458062,13926.245250794182,22.283838338777358
social,social cohesion,World,socialSupport,2010,6428996060,14456.692103510703,23.005050964489882
social,social cohesion,World,socialSupport,2011,6505082819,14868.723115954397,24.01229118443044
social,social cohesion,World,socialSupport,2012,6582435210,15167.367281369412,25.172528547292387
social,social cohesion,World,socialSupport,2013,6660245460,15466.221266740382,24.929010788117253
social,social cohesion,World,socialSupport,2014,6737819136,15822.54311864738,22.40659571646502
social,social cohesion,World,socialSupport,2015,6813863393,16149.754386108643,23.221970771978633
social,social cohesion,World,socialSupport,2016,6888265417,16464.365035837538,23.615634044472543
social,social cohesion,World,socialSupport,2017,6961902108,16921.842126261992,23.41371610047156
social,social cohesion,World,socialSupport,2018,7032749295,17336.746202719998,22.360746297139983
social,social cohesion,World,socialSupport,2019,7100131909,17660.681616347716,23.420925024082024
social,social cohesion,World,socialSupport,2020,7162432399,16944.91136794954,23.478029612767074
social,social cohesion,World,socialSupport,2021,7217192496,17851.686894085637,24.319738719568107
social,social cohesion,World,socialSupport,2022,7268893397,18312.534691469777,23.01191148498269
social,social cohesion,Bottom-40,socialSupport,2000,2068606709,2657.2786024748248,NA
social,social cohesion,Bottom-40,socialSupport,2001,2111705855,2731.934993762761,NA
social,social cohesion,Bottom-40,socialSupport,2002,2155516332,2798.596426746777,NA
social,social cohesion,Bottom-40,socialSupport,2003,2199225441,2924.098931047366,NA
social,social cohesion,Bottom-40,socialSupport,2004,2242454831,3079.1075996709696,NA
social,social cohesion,Bottom-40,socialSupport,2005,2285372248,3232.607686231488,27.977830356451236
social,social cohesion,Bottom-40,socialSupport,2006,2327837030,3412.6536543005695,28.416316969255632
social,social cohesion,Bottom-40,socialSupport,2007,2369725015,3588.4157754294074,37.62732259407227
social,social cohesion,Bottom-40,socialSupport,2008,2411777263,3663.5010115225737,33.000107974365946
social,social cohesion,Bottom-40,socialSupport,2009,2454747332,3815.923832807464,32.702104404688924
social,social cohesion,Bottom-40,socialSupport,2010,2498623479,4005.6718535836562,33.855732806912485
social,social cohesion,Bottom-40,socialSupport,2011,2543300889,4138.407968711472,36.12058847173536
social,social cohesion,Bottom-40,socialSupport,2012,2587910089,4281.808014532431,38.69485490379903
social,social cohesion,Bottom-40,socialSupport,2013,2632058645,4465.57367256785,37.348308216634365
social,social cohesion,Bottom-40,socialSupport,2014,2675979160,4676.780023915346,33.804290929472685
social,social cohesion,Bottom-40,socialSupport,2015,2719520306,4893.09160667262,33.74461060527578
social,social cohesion,Bottom-40,socialSupport,2016,2763758398,5096.673417169512,32.81659492395784
social,social cohesion,Bottom-40,socialSupport,2017,2808750144,5327.612591183659,32.974780242219595
social,social cohesion,Bottom-40,socialSupport,2018,2853383175,5561.141260871828,31.522038504286016
social,social cohesion,Bottom-40,socialSupport,2019,2897623168,5714.772660140999,35.93962639223143
social,social cohesion,Bottom-40,socialSupport,2020,2942137369,5398.3644631936995,33.835558126874176
social,social cohesion,Bottom-40,socialSupport,2021,2984932866,5664.189471179911,37.66350589137476
social,social cohesion,Bottom-40,socialSupport,2022,3025970227,5946.329182092706,36.096161748093316
social,social cohesion,Middle-40,socialSupport,2000,2708222736,7641.4605772523855,NA
social,social cohesion,Middle-40,socialSupport,2001,2731386678,7851.073005672814,NA
social,social cohesion,Middle-40,socialSupport,2002,2753358616,8117.255404838118,NA
social,social cohesion,Middle-40,socialSupport,2003,2774863718,8469.510670568241,NA
social,social cohesion,Middle-40,socialSupport,2004,2796726888,9019.2650758982345,NA
social,social cohesion,Middle-40,socialSupport,2005,2818763300,9528.415523523241,19.322720363351948
social,social cohesion,Middle-40,socialSupport,2006,2840665243,10233.75332867938,19.73697206160567
social,social cohesion,Middle-40,socialSupport,2007,2862618119,11042.149030315284,18.541516162005138
social,social cohesion,Middle-40,socialSupport,2008,2885541102,11585.56429757122,22.30143929180781
social,social cohesion,Middle-40,socialSupport,2009,2909490695,11598.623807432847,18.063267622622362
social,social cohesion,Middle-40,socialSupport,2010,2933717376,12280.143120263418,18.861156186754584
social,social cohesion,Middle-40,socialSupport,2011,2958286321,12894.986433015796,18.977182816195352
social,social cohesion,Middle-40,socialSupport,2012,2984220456,13423.408108335569,18.768820940216216
social,social cohesion,Middle-40,socialSupport,2013,3011379636,13884.899460213828,19.59959861697041
social,social cohesion,Middle-40,socialSupport,2014,3038876069,14360.081121531226,16.426310751095983
social,social cohesion,Middle-40,socialSupport,2015,3065347669,14730.456648707072,18.46962169447231
social,social cohesion,Middle-40,socialSupport,2016,3089490240,15148.596738406466,20.07769562423887
social,social cohesion,Middle-40,socialSupport,2017,3112206752,15746.957918584492,19.49871129786908
social,social cohesion,Middle-40,socialSupport,2018,3132682647,16284.665665597639,18.25010928130338
social,social cohesion,Middle-40,socialSupport,2019,3150369745,16773.72182993595,16.570850481968975
social,social cohesion,Middle-40,socialSupport,2020,3164900724,16482.64955016132,18.868430627994954
social,social cohesion,Middle-40,socialSupport,2021,3175175854,17522.014019210605,16.462037069410385
social,social cohesion,Middle-40,socialSupport,2022,3183371386,18023.659519827746,14.730443905987684
social,social cohesion,Top-20,socialSupport,2000,920215871,42802.166516442725,NA
social,social cohesion,Top-20,socialSupport,2001,926610481,43126.293984763935,NA
social,social cohesion,Top-20,socialSupport,2002,933139472,43350.64800861324,NA
social,social cohesion,Top-20,socialSupport,2003,939891030,44078.53494602646,NA
social,social cohesion,Top-20,socialSupport,2004,946834725,45302.342823842744,NA
social,social cohesion,Top-20,socialSupport,2005,954199353,46286.54165220403,5.874069145184791
social,social cohesion,Top-20,socialSupport,2006,962297036,47297.587436994676,6.057689108028072
social,social cohesion,Top-20,socialSupport,2007,971348904,48061.46513975733,6.251618548631882
social,social cohesion,Top-20,socialSupport,2008,980633227,47744.81403210857,8.163134690467501
social,social cohesion,Top-20,socialSupport,2009,989220035,45860.978009626364,8.8444627370489
social,social cohesion,Top-20,socialSupport,2010,996655205,47064.302021967764,8.000110212809957
social,social cohesion,Top-20,socialSupport,2011,1003495609,47882.617732434264,8.167925845930597
social,social cohesion,Top-20,socialSupport,2012,1010304665,48202.16207730486,9.450053812926441
social,social cohesion,Top-20,socialSupport,2013,1016807179,48625.221894702176,8.564614252407353
