domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,political voice,World,govRegimes,2000,6084948028,11028.447041375799,46.63682434002212
social,political voice,World,govRegimes,2001,6166127352,11152.76028809876,46.03006467388966
social,political voice,World,govRegimes,2002,6247142642,11284.687175014422,48.53922447061679
social,political voice,World,govRegimes,2003,6327986460,11554.247982960023,47.843051547869464
social,political voice,World,govRegimes,2004,6409174329,11995.078155237525,49.09820425326115
social,political voice,World,govRegimes,2005,6490951589,12383.721716281398,49.45188273225927
social,political voice,World,govRegimes,2006,6573549605,12876.458765211015,49.585767277403846
social,political voice,World,govRegimes,2007,6657436614,13379.739886767127,50.458514707234436
social,political voice,World,govRegimes,2008,6751269201,13549.975093848103,50.34204247842139
social,political voice,World,govRegimes,2009,6837758745,13298.668586066795,50.69099407074796
social,political voice,World,govRegimes,2010,6924854700,13792.366213313793,49.76636637588945
social,political voice,World,govRegimes,2011,7012156181,14177.490209214175,49.629011992481175
social,political voice,World,govRegimes,2012,7100472452,14453.442156074118,47.86732650505043
social,political voice,World,govRegimes,2013,7189125117,14715.931389947464,48.388476614128734
social,political voice,World,govRegimes,2014,7277328582,15046.81655742922,48.01433125670015
social,political voice,World,govRegimes,2015,7364693291,15350.737308665568,48.03791642380291
social,political voice,World,govRegimes,2016,7451355696,15638.382530885674,47.506385675565795
social,political voice,World,govRegimes,2017,7537515760,16056.690045694071,66.10254127017573
social,political voice,World,govRegimes,2018,7621277016,16428.10187876494,67.88491449842873
social,political voice,World,govRegimes,2019,7702231758,16710.3743932465,67.89607363564872
social,political voice,World,govRegimes,2020,7778041468,16013.049532167362,67.71991885965605
social,political voice,World,govRegimes,2021,7846191585,16835.161374113653,70.7494789907045
social,political voice,World,govRegimes,2022,7911804204,17251.584578168557,70.76488174681326
social,political voice,Bottom-40,govRegimes,2000,2389945917,2590.671949861747,41.38217078323952
social,political voice,Bottom-40,govRegimes,2001,2440601941,2662.819506213497,42.17686816139429
social,political voice,Bottom-40,govRegimes,2002,2492155654,2731.6211374082936,47.651191413102644
social,political voice,Bottom-40,govRegimes,2003,2543762367,2845.9329537312037,46.02070787691624
social,political voice,Bottom-40,govRegimes,2004,2595104623,2991.96101550394,49.36314388431499
social,political voice,Bottom-40,govRegimes,2005,2646376090,3139.6893409668046,49.47183334776879
social,political voice,Bottom-40,govRegimes,2006,2697749751,3311.8570038056037,49.044723199753896
social,political voice,Bottom-40,govRegimes,2007,2749286468,3481.4351455806286,51.12499287942518
social,political voice,Bottom-40,govRegimes,2008,2809511421,3550.1402319068916,50.66360198291573
social,political voice,Bottom-40,govRegimes,2009,2862050601,3690.517411573784,51.45252283399444
social,political voice,Bottom-40,govRegimes,2010,2915975568,3859.969421833083,47.89172678006471
social,political voice,Bottom-40,govRegimes,2011,2970634007,4025.244327501248,47.49746383011767
social,political voice,Bottom-40,govRegimes,2012,3024908232,4118.834478145015,43.71597951339107
social,political voice,Bottom-40,govRegimes,2013,3078143278,4261.887246708674,42.59762699714071
social,political voice,Bottom-40,govRegimes,2014,3130940253,4460.963705773672,41.252698219406106
