domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,peace and justice,World,controlCorruption,2000,4379369719,13657.748220423788,NA
social,peace and justice,World,controlCorruption,2001,4441870763,13744.388862838741,NA
social,peace and justice,World,controlCorruption,2002,4504516523,13829.61366829069,NA
social,peace and justice,World,controlCorruption,2003,4567031457,14045.685960145105,NA
social,peace and justice,World,controlCorruption,2004,4629582264,14488.638765239117,NA
social,peace and justice,World,controlCorruption,2005,4691861255,14849.27315020903,79.93827983595126
social,peace and justice,World,controlCorruption,2006,4753212340,15306.65404387015,80.05125172529529
social,peace and justice,World,controlCorruption,2007,4814328029,15744.417516547277,81.42652439043862
social,peace and justice,World,controlCorruption,2008,4876655997,15805.968601009447,82.58861759473042
social,peace and justice,World,controlCorruption,2009,4939993164,15316.977397356453,82.16417234868277
social,peace and justice,World,controlCorruption,2010,5003854548,15774.295817371458,80.50876076959149
social,peace and justice,World,controlCorruption,2011,5068947557,16068.559426368865,80.89666373912203
social,peace and justice,World,controlCorruption,2012,5134844706,16226.866901290787,79.09398855964955
social,peace and justice,World,controlCorruption,2013,5200757407,16419.09098974723,79.28789563682088
social,peace and justice,World,controlCorruption,2014,5266550178,16637.442293307293,77.89981894642439
social,peace and justice,World,controlCorruption,2015,5331497278,16863.981412950558,76.77370622662853
social,peace and justice,World,controlCorruption,2016,5395491636,17054.26891212842,77.14970265148527
social,peace and justice,World,controlCorruption,2017,5458677719,17413.69534514696,75.39862471905622
social,peace and justice,World,controlCorruption,2018,5520512900,17721.40283391695,77.05378272955056
social,peace and justice,World,controlCorruption,2019,5580971652,17912.821532253565,74.56823478005977
social,peace and justice,World,controlCorruption,2020,5638942837,16969.22767060095,75.70267463378325
social,peace and justice,World,controlCorruption,2021,5691767651,17771.216115037994,74.62251558544021
social,peace and justice,World,controlCorruption,2022,5741934331,18193.536202261443,74.77606433214086
social,peace and justice,Bottom-40,controlCorruption,2000,2046843979,2652.623164815771,NA
social,peace and justice,Bottom-40,controlCorruption,2001,2089308297,2726.519368474804,NA
social,peace and justice,Bottom-40,controlCorruption,2002,2132524521,2793.2486165491673,NA
social,peace and justice,Bottom-40,controlCorruption,2003,2175611989,2919.6242412354504,NA
social,peace and justice,Bottom-40,controlCorruption,2004,2218178413,3076.327924390546,NA
social,peace and justice,Bottom-40,controlCorruption,2005,2260378738,3230.1646405927545,83.1334361074893
social,peace and justice,Bottom-40,controlCorruption,2006,2302057409,3409.656115407229,82.93388155841369
social,peace and justice,Bottom-40,controlCorruption,2007,2343127148,3587.8418872562274,84.00084213054457
social,peace and justice,Bottom-40,controlCorruption,2008,2384358657,3663.5243352358684,86.4668743813569
social,peace and justice,Bottom-40,controlCorruption,2009,2426460513,3816.400465184288,86.69588682061236
social,peace and justice,Bottom-40,controlCorruption,2010,2469441649,4008.393716170501,83.9341129075425
social,peace and justice,Bottom-40,controlCorruption,2011,2513241063,4150.133445122023,85.67560998522737
social,peace and justice,Bottom-40,controlCorruption,2012,2556973441,4294.522763401915,82.18645870392538
social,peace and justice,Bottom-40,controlCorruption,2013,2600246577,4480.109202581321,81.26722081496591
social,peace and justice,Bottom-40,controlCorruption,2014,2643280995,4697.644624443966,80.84445899786226
social,peace and justice,Bottom-40,controlCorruption,2015,2685939375,4927.464372250671,78.27766421094174
social,peace and justice,Bottom-40,controlCorruption,2016,2729297572,5138.295139243285,77.62377124314419
social,peace and justice,Bottom-40,controlCorruption,2017,2773403415,5375.733397690406,76.42548490745193
social,peace and justice,Bottom-40,controlCorruption,2018,2817151600,5613.163225439586,78.92593153328161
social,peace and justice,Bottom-40,controlCorruption,2019,2860505744,5769.786858350714,75.526142496348
social,peace and justice,Bottom-40,controlCorruption,2020,2904151149,5450.381990461728,78.48070092020077
social,peace and justice,Bottom-40,controlCorruption,2021,2946115419,5720.351054200448,76.58955983238496
social,peace and justice,Bottom-40,controlCorruption,2022,2986303189,6007.033597263479,77.13948772483658
social,peace and justice,Middle-40,controlCorruption,2000,1439067493,11348.368367255916,NA
social,peace and justice,Middle-40,controlCorruption,2001,1453483786,11510.514136799271,NA
social,peace and justice,Middle-40,controlCorruption,2002,1467156964,11717.235795831062,NA
social,peace and justice,Middle-40,controlCorruption,2003,1480594234,12028.023409397912,NA
social,peace and justice,Middle-40,controlCorruption,2004,1494377754,12670.893512412242,NA
social,peace and justice,Middle-40,controlCorruption,2005,1508197204,13182.082354442287,84.99583992992108
social,peace and justice,Middle-40,controlCorruption,2006,1521503128,13910.843720648309,84.94985072695542
social,peace and justice,Middle-40,controlCorruption,2007,1534631438,14685.084710222967,86.3604270849872
social,peace and justice,Middle-40,controlCorruption,2008,1548741081,15129.861912734325,85.95797955550884
social,peace and justice,Middle-40,controlCorruption,2009,1563584607,14630.563611606118,85.04280093830961
social,peace and justice,Middle-40,controlCorruption,2010,1578594750,15214.767791767008,83.2895948654823
social,peace and justice,Middle-40,controlCorruption,2011,1594080860,15713.523232892136,82.12504680708967
social,peace and justice,Middle-40,controlCorruption,2012,1610447775,16040.943449596276,81.82765102009691
social,peace and justice,Middle-40,controlCorruption,2013,1627584514,16324.98911984368,82.91890244034164
social,peace and justice,Middle-40,controlCorruption,2014,1645028375,16480.098586888074,81.64261822100663
social,peace and justice,Middle-40,controlCorruption,2015,1662137975,16584.896426489373,82.89457385435004
social,peace and justice,Middle-40,controlCorruption,2016,1677635903,16699.26754220315,83.76556343102129
social,peace and justice,Middle-40,controlCorruption,2017,1691715414,17053.05854016181,82.25414040366283
social,peace and justice,Middle-40,controlCorruption,2018,1705153314,17337.356758270693,82.50001942913727
social,peace and justice,Middle-40,controlCorruption,2019,1717807031,17514.03922934785,80.81660530416366
social,peace and justice,Middle-40,controlCorruption,2020,1729042222,16788.236406047217,80.6050129843971
social,peace and justice,Middle-40,controlCorruption,2021,1738134111,17594.26971461778,79.80932053346504
social,peace and justice,Middle-40,controlCorruption,2022,1746198180,18079.072757089514,79.25220908653117
social,peace and justice,Top-20,controlCorruption,2000,893458247,42589.293170275596,NA
social,peace and justice,Top-20,controlCorruption,2001,899078680,42959.43692080329,NA
social,peace and justice,Top-20,controlCorruption,2002,904835038,43265.37586047591,NA
social,peace and justice,Top-20,controlCorruption,2003,910825234,43901.39459635074,NA
social,peace and justice,Top-20,controlCorruption,2004,917026097,45055.860035802114,NA
social,peace and justice,Top-20,controlCorruption,2005,923285313,46018.44471739657,63.854344475485775
social,peace and justice,Top-20,controlCorruption,2006,929651803,47051.12213796628,64.89588600329905
social,peace and justice,Top-20,controlCorruption,2007,936569443,47893.75576011528,66.9015192526109
social,peace and justice,Top-20,controlCorruption,2008,943556259,47599.57499105278,67.25786832493182
social,peace and justice,Top-20,controlCorruption,2009,949948044,45822.81612727572,65.85064270648853
social,peace and justice,Top-20,controlCorruption,2010,955818149,47096.652190057684,67.06633205050508
social,peace and justice,Top-20,controlCorruption,2011,961625634,47806.30944460948,66.37044336074875
social,peace and justice,Top-20,controlCorruption,2012,967423490,48074.45730717977,66.36969068982295
social,peace and justice,Top-20,controlCorruption,2013,972926316,48484.679881822136,67.92372161762351
social,peace and justice,Top-20,controlCorruption,2014,978240808,49164.27501560262,63.64921523035171
social,peace and justice,Top-20,controlCorruption,2015,983419928,49936.972866733464,62.32080966869284
social,peace and justice,Top-20,controlCorruption,2016,988558161,50555.38461446683,64.6133842859184
social,peace and justice,Top-20,controlCorruption,2017,993558890,51630.30792718037,60.859497493500356
social,peace and justice,Top-20,controlCorruption,2018,998207986,52549.4191515727,62.46684718183417
social,peace and justice,Top-20,controlCorruption,2019,1002658877,53239.14466224873,61.13036906886514
social,peace and justice,Top-20,controlCorruption,2020,1005749466,50541.61482746034,59.25309271932176
social,peace and justice,Top-20,controlCorruption,2021,1007518121,53314.791159492124,59.922529863749425
social,peace and justice,Top-20,controlCorruption,2022,1009432962,54444.05389805466,60.040925696854856
social,peace and justice,World,homicideOver5,2000,5358545835,11917.585663401089,28.4529011778062
social,peace and justice,World,homicideOver5,2001,5423237439,12052.721806294005,28.549872920288344
social,peace and justice,World,homicideOver5,2002,5487912017,12187.062441515493,28.643585285817093
social,peace and justice,World,homicideOver5,2003,5552017764,12483.54762516617,28.571525802488406
social,peace and justice,World,homicideOver5,2004,5615585413,12978.93162959908,28.534742260183304
social,peace and justice,World,homicideOver5,2005,5679295190,13414.155866168381,28.61694972048107
social,peace and justice,World,homicideOver5,2006,5743313874,13959.112903798867,28.136229613279884
social,peace and justice,World,homicideOver5,2007,5808081033,14516.2562135692,29.36902807154757
social,peace and justice,World,homicideOver5,2008,5873492077,14728.550143276178,27.969637269674998
social,peace and justice,World,homicideOver5,2009,5939483074,14445.741537045811,22.14192763267398
social,peace and justice,World,homicideOver5,2010,6005569515,15000.199305866649,21.568045124859403
social,peace and justice,World,homicideOver5,2011,6072091031,15457.937440237632,21.266798066881616
social,peace and justice,World,homicideOver5,2012,6139256845,15767.199064094395,22.8182664183681
social,peace and justice,World,homicideOver5,2013,6205720159,16080.682891196653,22.85434854717238
social,peace and justice,World,homicideOver5,2014,6271205199,16452.853343408107,22.879036859275317
social,peace and justice,World,homicideOver5,2015,6335451163,16816.339819520763,18.66401996602369
social,peace and justice,World,homicideOver5,2016,6398905337,17150.371589239894,24.009903555164907
social,peace and justice,World,homicideOver5,2017,6461824528,17639.9842584069,24.822779712596986
