domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,food,World,undernourishment,2000,6038539859,11037.790569245926,13.085805434873095
social,food,World,undernourishment,2001,6118588594,11164.29149612837,13.140673527052309
social,food,World,undernourishment,2002,6198481920,11296.456202944219,13.177027300904026
social,food,World,undernourishment,2003,6278158589,11566.25377830204,13.119044427040995
social,food,World,undernourishment,2004,6358090965,12007.379619825286,12.793241548738994
social,food,World,undernourishment,2005,6438489336,12396.121447765187,12.238760608595657
social,food,World,undernourishment,2006,6519466563,12884.305749046785,11.355211489302334
social,food,World,undernourishment,2007,6601551344,13385.803241808668,10.43851533691866
social,food,World,undernourishment,2008,6684658261,13573.160481529205,9.77583564312593
social,food,World,undernourishment,2009,6768780680,13322.867422851128,9.289986611709807
social,food,World,undernourishment,2010,6853661473,13813.346470463706,8.930578654318662
social,food,World,undernourishment,2011,6938988037,14197.579877010538,8.653259996793391
social,food,World,undernourishment,2012,7025333950,14475.896609247384,8.418606575577806
social,food,World,undernourishment,2013,7111912125,14740.075193960287,8.193773029696988
social,food,World,undernourishment,2014,7198118979,15069.932059892652,8.123979505840841
social,food,World,undernourishment,2015,7283561601,15378.206702314023,8.101729265583238
social,food,World,undernourishment,2016,7368453796,15666.65075499769,8.02936060842472
social,food,World,undernourishment,2017,7453019920,16091.285156895094,7.894138520241604
social,food,World,undernourishment,2018,7535007796,16472.132412424613,7.881450221474993
social,food,World,undernourishment,2019,7613951633,16760.926440433814,8.333965862940227
social,food,World,undernourishment,2020,7687827383,16066.025338494153,8.913534724886006
social,food,World,undernourishment,2021,7754098184,16893.935947952497,9.441514698158482
social,food,World,undernourishment,2022,7817698708,17315.92846064459,9.619073039825315
social,food,Bottom-40,undernourishment,2000,2349493648,2578.2934911991783,21.434236938656323
social,food,Bottom-40,undernourishment,2001,2399170308,2651.204553558482,21.453727152036763
social,food,Bottom-40,undernourishment,2002,2449741936,2720.8105369237574,21.863601196685398
social,food,Bottom-40,undernourishment,2003,2500329049,2834.8544408699004,22.14340749204326
social,food,Bottom-40,undernourishment,2004,2550578234,2981.872986305376,21.799840245990275
social,food,Bottom-40,undernourishment,2005,2600719757,3130.1400624329362,20.936243635149957
social,food,Bottom-40,undernourishment,2006,2650890254,3304.1508460524656,19.344147585937748
social,food,Bottom-40,undernourishment,2007,2701134047,3474.590884307729,17.749837960078104
social,food,Bottom-40,undernourishment,2008,2751140588,3552.114601242212,16.777275396585438
social,food,Bottom-40,undernourishment,2009,2801772892,3697.0383308098476,16.247595702699805
social,food,Bottom-40,undernourishment,2010,2853829010,3872.8385886680026,15.713445915668226
social,food,Bottom-40,undernourishment,2011,2906775500,4037.2753707026754,15.238891638105525
social,food,Bottom-40,undernourishment,2012,2959348479,4137.126781032276,14.831309458469491
social,food,Bottom-40,undernourishment,2013,3010829227,4284.509918605761,14.45307146927068
social,food,Bottom-40,undernourishment,2014,3062010054,4484.071457697526,14.303003398303016
social,food,Bottom-40,undernourishment,2015,3113570785,4683.8000646441415,14.19275282848596
social,food,Bottom-40,undernourishment,2016,3166876918,4866.86739041031,13.9416884040392
social,food,Bottom-40,undernourishment,2017,3221432230,5075.081865253418,13.545855479380982
social,food,Bottom-40,undernourishment,2018,3275903849,5280.281226645423,13.485215288319655
social,food,Bottom-40,undernourishment,2019,3330513776,5415.469538098557,14.409451881486529
social,food,Bottom-40,undernourishment,2020,3385534755,5126.031285066485,15.590195100537374
social,food,Bottom-40,undernourishment,2021,3438744816,5343.278863029352,16.552244767935115
social,food,Bottom-40,undernourishment,2022,3490550455,5591.4010810990785,16.831571965545475
social,food,Middle-40,undernourishment,2000,2769704849,7691.142168911503,9.486957221086918
social,food,Middle-40,undernourishment,2001,2793711088,7901.094330103249,9.496312829288524
social,food,Middle-40,undernourishment,2002,2816523035,8165.740390226979,9.123018876215227
social,food,Middle-40,undernourishment,2003,2838875053,8526.402195630442,8.647800857863258
social,food,Middle-40,undernourishment,2004,2861612966,9070.969913300336,8.134088332894422
social,food,Middle-40,undernourishment,2005,2884524603,9580.631111195007,7.581750055851404
social,food,Middle-40,undernourishment,2006,2907321606,10280.46436749008,6.963962626775182
social,food,Middle-40,undernourishment,2007,2930234000,11082.820706742183,6.288468413273479
social,food,Middle-40,undernourishment,2008,2954169784,11616.244723132917,5.621511475692488
social,food,Middle-40,undernourishment,2009,2979187552,11625.854289056922,4.917526721694626
social,food,Middle-40,undernourishment,2010,3004533109,12299.990425947033,4.519390892390395
social,food,Middle-40,undernourishment,2011,3029849625,12866.651765304745,4.285580125185256
social,food,Middle-40,undernourishment,2012,3056565740,13416.170140494523,4.099766754435977
social,food,Middle-40,undernourishment,2013,3084956503,13856.727666786941,3.915343673226501
social,food,Middle-40,undernourishment,2014,3113703743,14315.109183096145,3.8559366783662568
social,food,Middle-40,undernourishment,2015,3141427653,14680.34553758381,3.860774553447913
