domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,health,World,under5death,2000,6080349440,11004.692300065402,75.39809756394527
social,health,World,under5death,2001,6161487045,11128.904435397217,74.89198026870152
social,health,World,under5death,2002,6242484048,11261.540212469794,75.02519549890566
social,health,World,under5death,2003,6323318885,11529.855585079833,73.2704568322589
social,health,World,under5death,2004,6404505397,11968.080375877786,73.44222831326314
social,health,World,under5death,2005,6486299657,12355.022759039311,50.0908631548288
social,health,World,under5death,2006,6568898891,12844.695936427976,46.50634571625956
social,health,World,under5death,2007,6652767624,13345.289295115153,46.67916610820736
social,health,World,under5death,2008,6746573694,13513.566804047387,46.75516337730528
social,health,World,under5death,2009,6833042228,13265.06149154049,46.937987019271795
social,health,World,under5death,2010,6920123340,13756.612286521296,47.08784129850495
social,health,World,under5death,2011,7007405605,14139.65472043299,47.325562653797604
social,health,World,under5death,2012,7095686622,14416.13979162458,47.84124009190213
social,health,World,under5death,2013,7184298155,14677.34576588204,47.591472238946906
social,health,World,under5death,2014,7272468061,15007.369635246381,46.04565729147449
social,health,World,under5death,2015,7359806725,15311.021665523283,46.270626868941314
social,health,World,under5death,2016,7446454318,15597.754414036097,45.83338304715026
social,health,World,under5death,2017,7532610434,16013.618660403028,46.07483160598028
social,health,World,under5death,2018,7616372776,16383.639630409047,42.82796063079673
social,health,World,under5death,2019,7697333553,16667.708536867154,42.898325404036186
social,health,World,under5death,2020,7773158688,15973.23852919758,42.938348269572856
social,health,World,under5death,2021,7841335501,16791.987637107857,42.32263256146575
social,health,World,under5death,2022,7906974721,17210.951021450393,42.615680318930416
social,health,Bottom-40,under5death,2000,2390496925,2590.9974391428664,98.8412427679655
social,health,Bottom-40,under5death,2001,2441157194,2663.2031090486253,98.84662015747274
social,health,Bottom-40,under5death,2002,2492714585,2731.9750022323224,98.85167334550658
social,health,Bottom-40,under5death,2003,2544324485,2846.2560997209234,98.85618272466532
social,health,Bottom-40,under5death,2004,2595669620,2992.2508778064066,98.85954630851673
social,health,Bottom-40,under5death,2005,2646943702,3139.9579892205297,98.63383014256493
social,health,Bottom-40,under5death,2006,2698319942,3312.081416215672,95.51667531648106
social,health,Bottom-40,under5death,2007,2749859301,3481.6419270781485,95.38906278027059
social,health,Bottom-40,under5death,2008,2810086898,3550.327833144699,95.42634980108718
social,health,Bottom-40,under5death,2009,2862628786,3690.6612219346785,95.25955350328124
social,health,Bottom-40,under5death,2010,2916557172,3860.087593058656,94.99411565109548
social,health,Bottom-40,under5death,2011,2971219398,4025.339575358574,94.91806545482171
social,health,Bottom-40,under5death,2012,3025496765,4118.907239318242,95.71415201959404
social,health,Bottom-40,under5death,2013,3078734496,4261.941562979554,94.56407831797652
social,health,Bottom-40,under5death,2014,3131533963,4461.00717186334,93.49749351576807
social,health,Bottom-40,under5death,2015,3184625696,4655.56473539207,93.52194638575196
social,health,Bottom-40,under5death,2016,3239351100,4835.955023097456,93.55558522199091
social,health,Bottom-40,under5death,2017,3295224355,5037.397493099811,93.59174886894766
social,health,Bottom-40,under5death,2018,3351275676,5234.702054758413,93.62872685977148
social,health,Bottom-40,under5death,2019,3407742141,5364.77105881448,93.16413175171635
social,health,Bottom-40,under5death,2020,3464675412,5076.04284296782,92.60119631662627
social,health,Bottom-40,under5death,2021,3519786549,5287.298647675415,91.79247846486388
social,health,Bottom-40,under5death,2022,3573523686,5529.041654165806,91.81336902435744
social,health,Middle-40,under5death,2000,2771079507,7692.85018485735,80.1734821533578
social,health,Middle-40,under5death,2001,2795128241,7902.984182376066,78.76054667933212
social,health,Middle-40,under5death,2002,2817982774,8168.321690814426,78.75654182405589
social,health,Middle-40,under5death,2003,2840378133,8528.850379276693,74.5641063559054
social,health,Middle-40,under5death,2004,2863160639,9073.696198278565,74.65680538087337
social,health,Middle-40,under5death,2005,2886128730,9583.909852877112,22.114797699962608
social,health,Middle-40,under5death,2006,2908976565,10285.251123919892,16.41846605938539
social,health,Middle-40,under5death,2007,2931945847,11087.960332042421,16.452944910070162
