domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,water,World,drinkingH2O,2000,3106874362,17140.667342915134,60.68706765793308
social,water,World,drinkingH2O,2001,3147345703,17283.330877200082,60.680628020870394
social,water,World,drinkingH2O,2002,3187834256,17416.680692490623,60.70702796644276
social,water,World,drinkingH2O,2003,3228391076,17658.316172354902,60.73745728910996
social,water,World,drinkingH2O,2004,3269189857,18189.75233340712,60.8449193006779
social,water,World,drinkingH2O,2005,3310183500,18589.064584007105,60.95970695494521
social,water,World,drinkingH2O,2006,3351236628,19093.633142663035,61.083418670457036
social,water,World,drinkingH2O,2007,3392526466,19583.397706067968,61.23191086181295
social,water,World,drinkingH2O,2008,3434876646,19640.163229240527,61.398978747815924
social,water,World,drinkingH2O,2009,3478301287,18929.624104755232,61.58124885331171
social,water,World,drinkingH2O,2010,3522427332,19436.85139764196,61.76606133874994
social,water,World,drinkingH2O,2011,3567860672,19733.84644838837,61.951800751387424
social,water,World,drinkingH2O,2012,3614012067,19882.734079546903,62.166708297146634
social,water,World,drinkingH2O,2013,3660572929,20044.533254294252,62.35052103207882
social,water,World,drinkingH2O,2014,3707520953,20255.09830210746,62.5242207624708
social,water,World,drinkingH2O,2015,3753981981,20428.622225354782,62.70196185608194
social,water,World,drinkingH2O,2016,3800117560,20597.888985097266,62.85116968317345
social,water,World,drinkingH2O,2017,3846427812,20932.065164018644,62.99431077997443
social,water,World,drinkingH2O,2018,3892633363,21236.91959360604,63.12714644170555
social,water,World,drinkingH2O,2019,3938252720,21446.431732492278,63.23917238575072
social,water,World,drinkingH2O,2020,3981745176,20300.952913900746,63.30418432056468
social,water,World,drinkingH2O,2021,4022349653,21159.810720575802,63.33592141677411
social,water,World,drinkingH2O,2022,4061989045,21527.829858278696,63.3620702826235
social,water,Bottom-40,drinkingH2O,2000,1054470022,2565.4699931738455,28.67848742557131
social,water,Bottom-40,drinkingH2O,2001,1078630276,2634.963508315605,28.936526349346316
social,water,Bottom-40,drinkingH2O,2002,1103442948,2713.0850272155794,29.310992681848695
social,water,Bottom-40,drinkingH2O,2003,1128272108,2802.7578677237548,29.685118869196977
social,water,Bottom-40,drinkingH2O,2004,1152739114,2942.684180764058,30.09812916586703
social,water,Bottom-40,drinkingH2O,2005,1177225751,3062.59655924197,30.491582028410203
social,water,Bottom-40,drinkingH2O,2006,1201784365,3219.451886401424,30.865944170712662
social,water,Bottom-40,drinkingH2O,2007,1226168076,3353.9279084774603,31.278515897983127
social,water,Bottom-40,drinkingH2O,2008,1250880780,3462.6184213511783,31.75661506723156
social,water,Bottom-40,drinkingH2O,2009,1276635316,3556.364950798276,32.30789146133858
social,water,Bottom-40,drinkingH2O,2010,1303436768,3691.682698049829,32.8708738018463
social,water,Bottom-40,drinkingH2O,2011,1331105890,3805.874160398956,33.45367253899599
social,water,Bottom-40,drinkingH2O,2012,1358875246,3934.7219017363627,34.112540893417794
social,water,Bottom-40,drinkingH2O,2013,1386484874,4090.3254721487447,34.66340259025558
social,water,Bottom-40,drinkingH2O,2014,1414385985,4260.264332268811,35.19368251305482
social,water,Bottom-40,drinkingH2O,2015,1442454925,4387.760548720054,35.710639238050064
social,water,Bottom-40,drinkingH2O,2016,1471236066,4494.331337270759,36.19610433489557
social,water,Bottom-40,drinkingH2O,2017,1501059086,4614.770800238382,36.678271741628905
social,water,Bottom-40,drinkingH2O,2018,1531255584,4773.7833522358005,37.167175088155005
social,water,Bottom-40,drinkingH2O,2019,1561757660,4914.764402729938,37.633190025074796
social,water,Bottom-40,drinkingH2O,2020,1593495343,4761.126270664425,38.076639369052465
social,water,Bottom-40,drinkingH2O,2021,1625700933,4840.501745478694,38.48413724115942
social,water,Bottom-40,drinkingH2O,2022,1657748116,5017.3680425846715,38.82453003656605
social,water,Middle-40,drinkingH2O,2000,1171366737,10961.722899358358,62.192949875930196
social,water,Middle-40,drinkingH2O,2001,1182137543,11249.691089875283,62.399945350096004
social,water,Middle-40,drinkingH2O,2002,1192136458,11552.629026043764,62.58548208470474
social,water,Middle-40,drinkingH2O,2003,1201938068,11864.368363308575,62.75840101560912
social,water,Middle-40,drinkingH2O,2004,1212109060,12486.171116438434,63.06055018850658
social,water,Middle-40,drinkingH2O,2005,1222323936,12936.629740296186,63.36087659407826
social,water,Middle-40,drinkingH2O,2006,1232328721,13574.13400743616,63.68111194007045
social,water,Middle-40,drinkingH2O,2007,1242199242,14337.775593187589,64.00060646617221
social,water,Middle-40,drinkingH2O,2008,1252786710,14814.069414293483,64.31179882851984
social,water,Middle-40,drinkingH2O,2009,1264042051,14359.170261195895,64.61881054131948
social,water,Middle-40,drinkingH2O,2010,1275374286,14903.963051837816,64.90319853217167
social,water,Middle-40,drinkingH2O,2011,1287038211,15340.125126611565,65.17447137265401
social,water,Middle-40,drinkingH2O,2012,1299280617,15669.35564854578,65.43943310894568
social,water,Middle-40,drinkingH2O,2013,1312391100,15910.589391385693,65.7168796819327
social,water,Middle-40,drinkingH2O,2014,1325922673,16089.136241008951,65.9854172189189
social,water,Middle-40,drinkingH2O,2015,1338881472,16140.64567935883,66.27128280419801
social,water,Middle-40,drinkingH2O,2016,1350873013,16311.207508543741,66.51756009764503
social,water,Middle-40,drinkingH2O,2017,1362343261,16635.59021386123,66.76511971907935
social,water,Middle-40,drinkingH2O,2018,1373729760,16956.767375461583,66.97662558066901
social,water,Middle-40,drinkingH2O,2019,1384575451,17197.426340908914,67.155395741707
social,water,Middle-40,drinkingH2O,2020,1393732501,16432.15001935703,67.27954017803049
social,water,Middle-40,drinkingH2O,2021,1400811716,17137.124894500303,67.38008539151086
social,water,Middle-40,drinkingH2O,2022,1406639158,17524.104335411233,67.5187589366378
social,water,Top-20,drinkingH2O,2000,881037603,42800.09275678073,96.99442599642349
social,water,Top-20,drinkingH2O,2001,886577884,43149.94120602759,97.00871624117163
social,water,Top-20,drinkingH2O,2002,892254850,43435.40026600493,97.02440981186969
social,water,Top-20,drinkingH2O,2003,898180900,44072.90427991882,97.04020891653768
social,water,Top-20,drinkingH2O,2004,904341683,45269.40017145656,97.06733607231845
social,water,Top-20,drinkingH2O,2005,910633813,46248.11263099622,97.12446786515007
social,water,Top-20,drinkingH2O,2006,917123542,47311.40203167276,97.18943368657358
social,water,Top-20,drinkingH2O,2007,924159148,48167.39822785916,97.25235730055068
social,water,Top-20,drinkingH2O,2008,931209156,47863.947210544546,97.2984547148306
social,water,Top-20,drinkingH2O,2009,937623920,46022.88705006844,97.34377095101395
social,water,Top-20,drinkingH2O,2010,943616278,47312.54796225635,97.43948763556854
social,water,Top-20,drinkingH2O,2011,949716571,48012.49902537036,97.52696824675611
social,water,Top-20,drinkingH2O,2012,955856204,48282.11024640278,97.60083068667055
social,water,Top-20,drinkingH2O,2013,961696955,48687.25563889269,97.67328213280217
social,water,Top-20,drinkingH2O,2014,967212295,49355.85797660067,97.74570376188679
social,water,Top-20,drinkingH2O,2015,972645584,50120.12831099806,97.8173925118488
social,water,Top-20,drinkingH2O,2016,978008481,50743.73914607929,97.88467530360349
social,water,Top-20,drinkingH2O,2017,983025465,51802.57436094083,97.95250320007729
social,water,Top-20,drinkingH2O,2018,987648019,52714.7752477123,98.02136622336953
social,water,Top-20,drinkingH2O,2019,991919609,53406.20584477222,98.08880340491189
social,water,Top-20,drinkingH2O,2020,994517332,50621.91037823265,98.15465059073631
social,water,Top-20,drinkingH2O,2021,995837004,53459.615942198536,98.21759010778321
social,water,Top-20,drinkingH2O,2022,997601771,54609.15050842628,98.27590173153048
social,water,World,sanitation,2000,5378183573,11804.871082894484,33.68982623467255
social,water,World,sanitation,2001,5445166424,11933.853725933806,34.0756382447039
social,water,World,sanitation,2002,5511978441,12063.380509890856,34.581172923020176
social,water,World,sanitation,2003,5578561403,12350.509193694159,35.43453190835837
social,water,World,sanitation,2004,5645403732,12833.509574782594,36.558901055377234
social,water,World,sanitation,2005,5712594523,13255.43177532767,37.66574483401654
social,water,World,sanitation,2006,5779723403,13788.80853587095,38.81701027868911
social,water,World,sanitation,2007,5847831575,14327.578148314524,40.025800552109914
social,water,World,sanitation,2008,5917136294,14531.76251892094,41.26730734388652
social,water,World,sanitation,2009,5987090668,14239.762973180743,42.54394259354311
