domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,housing,World,urbanSlums,2000,4518030553,11829.898896017528,39.710380300309836
social,housing,World,urbanSlums,2001,4588511022,11903.953122984643,39.59871792495465
social,housing,World,urbanSlums,2002,4659058376,11980.834947191255,39.48523541823215
social,housing,World,urbanSlums,2003,4729502781,12188.148261733164,39.063435040281476
social,housing,World,urbanSlums,2004,4800374647,12576.914435144894,38.63191851572008
social,housing,World,urbanSlums,2005,4871512440,12898.974516676331,38.19483701995875
social,housing,World,urbanSlums,2006,4943010853,13308.36339719854,37.745606955077
social,housing,World,urbanSlums,2007,5015379655,13694.310156904357,37.251751312465245
social,housing,World,urbanSlums,2008,5097573217,13735.523864688927,36.85850775674894
social,housing,World,urbanSlums,2009,5172511059,13344.406958300373,36.36621545496526
social,housing,World,urbanSlums,2010,5248384919,13722.026953173061,35.87456302877013
social,housing,World,urbanSlums,2011,5324859112,13996.803753086759,35.37322774424275
social,housing,World,urbanSlums,2012,5401882609,14141.97206666368,34.86322622003501
social,housing,World,urbanSlums,2013,5479314984,14286.92262519549,34.42244140251458
social,housing,World,urbanSlums,2014,5556726303,14487.964627703728,33.97373739592641
social,housing,World,urbanSlums,2015,5633787012,14684.667266096496,33.578374171850534
social,housing,World,urbanSlums,2016,5710685847,14866.294999589458,33.17932725589232
social,housing,World,urbanSlums,2017,5787374617,15180.177607202859,32.91703168645056
social,housing,World,urbanSlums,2018,5863838741,15449.674412638533,32.652568064881166
social,housing,World,urbanSlums,2019,5939640769,15621.916127027504,32.532522472525926
social,housing,World,urbanSlums,2020,6012800837,14794.972096165675,32.421326800302346
social,housing,World,urbanSlums,2021,6080780636,15469.475461898684,32.237627395835574
social,housing,World,urbanSlums,2022,6146271366,15834.525258271533,32.072145289618554
social,housing,Bottom-40,urbanSlums,2000,2390385216,2590.9432463968205,58.813516507720784
social,housing,Bottom-40,urbanSlums,2001,2441045246,2663.1498856087082,58.70864165108325
social,housing,Bottom-40,urbanSlums,2002,2492602593,2731.925077220344,58.601797890376346
social,housing,Bottom-40,urbanSlums,2003,2544212680,2846.209349177874,57.97097932271014
social,housing,Bottom-40,urbanSlums,2004,2595558182,2992.216105682643,57.338939308939075
social,housing,Bottom-40,urbanSlums,2005,2646832762,3139.926250139167,56.72021834932737
social,housing,Bottom-40,urbanSlums,2006,2698209641,3312.056704036417,56.098058311745646
social,housing,Bottom-40,urbanSlums,2007,2749749769,3481.626390785784,55.43840730006142
social,housing,Bottom-40,urbanSlums,2008,2809978194,3550.3178958598246,54.92299517277329
social,housing,Bottom-40,urbanSlums,2009,2862520918,3690.6541379631576,54.27598772322813
social,housing,Bottom-40,urbanSlums,2010,2916449584,3860.083294661815,53.62368101114752
social,housing,Bottom-40,urbanSlums,2011,2971111511,4025.337153641434,52.919292223890864
social,housing,Bottom-40,urbanSlums,2012,3025388533,4118.91139156409,52.21526831265894
social,housing,Bottom-40,urbanSlums,2013,3078625887,4261.9563721350305,51.58140356406361
social,housing,Bottom-40,urbanSlums,2014,3131424939,4461.032299511252,50.94495093217015
social,housing,Bottom-40,urbanSlums,2015,3184516234,4655.590828457441,50.31025997018883
social,housing,Bottom-40,urbanSlums,2016,3239241175,4835.986277125223,49.666174143341514
social,housing,Bottom-40,urbanSlums,2017,3295113925,5037.432206288751,49.19976438955934
social,housing,Bottom-40,urbanSlums,2018,3351164747,5234.743189441695,48.73022852966602
social,housing,Bottom-40,urbanSlums,2019,3407630762,5364.814927792951,48.47502157506463
social,housing,Bottom-40,urbanSlums,2020,3464563306,5076.080057171053,48.21860782559079
social,housing,Bottom-40,urbanSlums,2021,3519673418,5287.34753444646,47.74841815540099
social,housing,Bottom-40,urbanSlums,2022,3573409522,5529.099796267546,47.31487672840671
social,housing,Middle-40,urbanSlums,2000,1454473466,11236.517485740382,26.503612390346813
social,housing,Middle-40,urbanSlums,2001,1469252741,11395.176860828875,25.938964221190435
social,housing,Middle-40,urbanSlums,2002,1483295055,11631.419228642299,25.358999511004065
social,housing,Middle-40,urbanSlums,2003,1497111017,11985.737837267403,24.702589371525082
social,housing,Middle-40,urbanSlums,2004,1511316167,12586.111768931147,24.048069295407096
social,housing,Middle-40,urbanSlums,2005,1525578394,13081.081637272695,23.37487489669033
social,housing,Middle-40,urbanSlums,2006,1539592470,13786.779435829338,22.689124360887735
social,housing,Middle-40,urbanSlums,2007,1553495472,14543.43080001672,21.952893948189914
social,housing,Middle-40,urbanSlums,2008,1568200067,14959.716511009825,21.212411959150977
social,housing,Middle-40,urbanSlums,2009,1583689198,14483.028572373365,20.486974457898892
social,housing,Middle-40,urbanSlums,2010,1599403260,15069.416096834759,19.756317568481446
social,housing,Middle-40,urbanSlums,2011,1615255148,15477.55241802926,19.089428780313074
social,housing,Middle-40,urbanSlums,2012,1631944888,15847.25638793641,18.421478444867248
social,housing,Middle-40,urbanSlums,2013,1650241054,16102.856271699324,17.887694683275946
social,housing,Middle-40,urbanSlums,2014,1669360545,16250.857288690238,17.34828447686568
social,housing,Middle-40,urbanSlums,2015,1688033197,16388.28142599141,16.983909796232073
social,housing,Middle-40,urbanSlums,2016,1704846073,16558.356560193137,16.60448445709512
social,housing,Middle-40,urbanSlums,2017,1720404151,16951.09720477439,16.335740980830025
social,housing,Middle-40,urbanSlums,2018,1735845588,17254.66520602612,16.0693424958761
social,housing,Middle-40,urbanSlums,2019,1750560546,17448.601952575882,15.865485082899005
social,housing,Middle-40,urbanSlums,2020,1763493744,16719.843098915382,15.65839261616645
social,housing,Middle-40,urbanSlums,2021,1774109155,17513.55297155005,15.612368832498365
social,housing,Middle-40,urbanSlums,2022,1783187485,17991.426798025954,15.576326861617517
social,housing,Top-20,urbanSlums,2000,673171871,45918.84631223953,0.4114107318562929
social,housing,Top-20,urbanSlums,2001,678213035,46265.92867768043,0.40961874692374495
social,housing,Top-20,urbanSlums,2002,683160728,46485.370067037504,0.4071440904205489
social,housing,Top-20,urbanSlums,2003,688179084,47165.831939099786,0.40339106997595114
social,housing,Top-20,urbanSlums,2004,693500298,48429.44710672137,0.3992690800966895
social,housing,Top-20,urbanSlums,2005,699101284,49449.82998504436,0.39692015050648943
social,housing,Top-20,urbanSlums,2006,705208742,50510.91606107302,0.3979219488593351
social,housing,Top-20,urbanSlums,2007,712134414,51276.007132017556,0.4018997357101465
social,housing,Top-20,urbanSlums,2008,719394956,50850.640479194466,0.40480867530269427
social,housing,Top-20,urbanSlums,2009,726300943,48909.34306853759,0.4041042023766655
social,housing,Top-20,urbanSlums,2010,732532075,50043.77148761607,0.4019409986624271
social,housing,Top-20,urbanSlums,2011,738492453,50875.38278336094,0.3981593629464213
social,housing,Top-20,urbanSlums,2012,744549188,51131.76836917737,0.3931826643802612
social,housing,Top-20,urbanSlums,2013,750448043,51419.92953767108,0.38982916606833634
social,housing,Top-20,urbanSlums,2014,755940819,52130.70303477776,0.38617931136564276
social,housing,Top-20,urbanSlums,2015,761237581,52861.97248101937,0.3811755199298943
social,housing,Top-20,urbanSlums,2016,766598599,53486.09490989215,0.37556573007154687
social,housing,Top-20,urbanSlums,2017,771856541,54533.09174093498,0.36313523876940884
social,housing,Top-20,urbanSlums,2018,776828406,55482.62359797557,0.3507497595185905
social,housing,Top-20,urbanSlums,2019,781449461,56257.54392396871,0.34938901716798293
social,housing,Top-20,urbanSlums,2020,784743787,53377.27024683606,0.3479914940147083
social,housing,Top-20,urbanSlums,2021,786998063,56398.86257975102,0.34695867999180197
social,housing,Top-20,urbanSlums,2022,789674359,57597.74735893871,0.34592244411961465
social,housing,World,inadequateHous,2000,NA,NA,NA
social,housing,World,inadequateHous,2001,NA,NA,NA
social,housing,World,inadequateHous,2002,NA,NA,NA
social,housing,World,inadequateHous,2003,NA,NA,NA
social,housing,World,inadequateHous,2004,NA,NA,NA
social,housing,World,inadequateHous,2005,NA,NA,NA
social,housing,World,inadequateHous,2006,NA,NA,NA
social,housing,World,inadequateHous,2007,NA,NA,NA
social,housing,World,inadequateHous,2008,NA,NA,NA
social,housing,World,inadequateHous,2009,NA,NA,NA
social,housing,World,inadequateHous,2010,NA,NA,NA
social,housing,World,inadequateHous,2011,NA,NA,NA
social,housing,World,inadequateHous,2012,NA,NA,NA
social,housing,World,inadequateHous,2013,NA,NA,NA
social,housing,World,inadequateHous,2014,NA,NA,NA
social,housing,World,inadequateHous,2015,NA,NA,NA
social,housing,World,inadequateHous,2016,NA,NA,NA
social,housing,World,inadequateHous,2017,NA,NA,NA
social,housing,World,inadequateHous,2018,NA,NA,NA
social,housing,World,inadequateHous,2019,NA,NA,NA
social,housing,World,inadequateHous,2020,NA,NA,NA
social,housing,World,inadequateHous,2021,NA,NA,NA
social,housing,World,inadequateHous,2022,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2000,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2001,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2002,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2003,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2004,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2005,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2006,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2007,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2008,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2009,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2010,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2011,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2012,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2013,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2014,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2015,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2016,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2017,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2018,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2019,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2020,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2021,NA,NA,NA
social,housing,Bottom-40,inadequateHous,2022,NA,NA,NA
social,housing,Middle-40,inadequateHous,2000,NA,NA,NA
social,housing,Middle-40,inadequateHous,2001,NA,NA,NA
social,housing,Middle-40,inadequateHous,2002,NA,NA,NA
social,housing,Middle-40,inadequateHous,2003,NA,NA,NA
social,housing,Middle-40,inadequateHous,2004,NA,NA,NA
social,housing,Middle-40,inadequateHous,2005,NA,NA,NA
social,housing,Middle-40,inadequateHous,2006,NA,NA,NA
social,housing,Middle-40,inadequateHous,2007,NA,NA,NA
social,housing,Middle-40,inadequateHous,2008,NA,NA,NA
social,housing,Middle-40,inadequateHous,2009,NA,NA,NA
social,housing,Middle-40,inadequateHous,2010,NA,NA,NA
social,housing,Middle-40,inadequateHous,2011,NA,NA,NA
social,housing,Middle-40,inadequateHous,2012,NA,NA,NA
social,housing,Middle-40,inadequateHous,2013,NA,NA,NA
social,housing,Middle-40,inadequateHous,2014,NA,NA,NA
social,housing,Middle-40,inadequateHous,2015,NA,NA,NA
social,housing,Middle-40,inadequateHous,2016,NA,NA,NA
social,housing,Middle-40,inadequateHous,2017,NA,NA,NA
social,housing,Middle-40,inadequateHous,2018,NA,NA,NA
social,housing,Middle-40,inadequateHous,2019,NA,NA,NA
social,housing,Middle-40,inadequateHous,2020,NA,NA,NA
social,housing,Middle-40,inadequateHous,2021,NA,NA,NA
social,housing,Middle-40,inadequateHous,2022,NA,NA,NA
social,housing,Top-20,inadequateHous,2000,367843784,41705.031629205456,NA
social,housing,Top-20,inadequateHous,2001,369019721,42330.01149395116,NA
social,housing,Top-20,inadequateHous,2002,370583820,42456.06716344413,NA
social,housing,Top-20,inadequateHous,2003,372604421,42752.921974318655,NA
social,housing,Top-20,inadequateHous,2004,374845707,43632.05206854761,NA
social,housing,Top-20,inadequateHous,2005,377113702,44291.682529362304,10.91933176005363
social,housing,Top-20,inadequateHous,2006,379372662,45396.223672435444,11.612661630320636
social,housing,Top-20,inadequateHous,2007,381959470,46175.89594996873,10.837897286589072
social,housing,Top-20,inadequateHous,2008,384596872,45756.85693192901,10.91015507141202
social,housing,Top-20,inadequateHous,2009,386781619,43866.595271764105,10.766515080697255
social,housing,Top-20,inadequateHous,2010,388689265,44933.926443140575,10.959719092319157
social,housing,Top-20,inadequateHous,2011,390535377,45752.89617781741,11.472370953477029
social,housing,Top-20,inadequateHous,2012,392206186,45367.42926403824,10.060484024849114
social,housing,Top-20,inadequateHous,2013,393626913,45210.50374832846,10.20142214259623
social,housing,Top-20,inadequateHous,2014,394999663,45732.73748607158,10.829099256218859
social,housing,Top-20,inadequateHous,2015,396392219,46336.16071705864,10.706509394928359
social,housing,Top-20,inadequateHous,2016,397810995,47076.63966432235,10.647370481301051
social,housing,Top-20,inadequateHous,2017,399243131,48177.872743818465,10.045177342825719
social,housing,Top-20,inadequateHous,2018,400629097,48927.16783563047,10.256054451531762
social,housing,Top-20,inadequateHous,2019,402058074,49575.158059297166,10.447018350886296
social,housing,Top-20,inadequateHous,2020,403075564,45952.790001389,8.999240462019175
social,housing,Top-20,inadequateHous,2021,403702372,48816.9270745824,9.728825730555776
social,housing,Top-20,inadequateHous,2022,404236597,50184.881203512654,10.333659513020292
