domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,equality,World,genderGapIndex,2000,5987936475,11143.525953241922,0.45690689249204164
social,equality,World,genderGapIndex,2001,6067400171,11269.16109618872,0.45379509753947955
social,equality,World,genderGapIndex,2002,6146694074,11403.514831335073,0.4515420986168963
social,equality,World,genderGapIndex,2003,6225703784,11675.391569589821,0.44370738964056056
social,equality,World,genderGapIndex,2004,6305036969,12118.662403281058,0.4410447289305973
social,equality,World,genderGapIndex,2005,6385063771,12509.677115215676,0.43465972840774625
social,equality,World,genderGapIndex,2006,6465995974,13005.030631477917,0.4282978949199389
social,equality,World,genderGapIndex,2007,6548161577,13510.902130355309,0.42204529234908345
social,equality,World,genderGapIndex,2008,6631433245,13696.731902517131,0.4228341208718599
social,equality,World,genderGapIndex,2009,6715781792,13442.818432650078,0.41556534749215984
social,equality,World,genderGapIndex,2010,6800556597,13942.508229378449,0.4082961397431628
social,equality,World,genderGapIndex,2011,6885549957,14330.97430872319,0.4059328262104133
social,equality,World,genderGapIndex,2012,6971573392,14612.131730624928,0.40103904389406736
social,equality,World,genderGapIndex,2013,7057757987,14878.737516534802,0.3947087230037093
social,equality,World,genderGapIndex,2014,7143773390,15213.515843132103,0.3901934046562751
social,equality,World,genderGapIndex,2015,7229099872,15521.763158437721,0.3809754466615287
social,equality,World,genderGapIndex,2016,7313673290,15811.591222778465,0.3742460957910796
social,equality,World,genderGapIndex,2017,7397948919,16234.81918239549,0.37038959716410014
social,equality,World,genderGapIndex,2018,7479666350,16610.821316913636,0.3637566348420074
social,equality,World,genderGapIndex,2019,7558225718,16900.08408104054,0.35623579937163763
social,equality,World,genderGapIndex,2020,7631540374,16195.476628790198,0.3522239636846872
social,equality,World,genderGapIndex,2021,7697244601,17037.45205163254,0.35080639845499956
social,equality,World,genderGapIndex,2022,7760366644,17464.18412521262,0.34720510956299094
social,equality,Bottom-40,genderGapIndex,2000,2305033859,2637.8848731948997,0.6462623467319749
social,equality,Bottom-40,genderGapIndex,2001,2354133417,2711.2793630273814,0.6356537825154198
social,equality,Bottom-40,genderGapIndex,2002,2404099984,2780.4770825164014,0.6332814705268098
social,equality,Bottom-40,genderGapIndex,2003,2453993436,2895.6900403739824,0.6246344808698991
social,equality,Bottom-40,genderGapIndex,2004,2503595091,3041.1857081870667,0.6188319844245133
social,equality,Bottom-40,genderGapIndex,2005,2553227674,3189.177972567319,0.6051658379365505
social,equality,Bottom-40,genderGapIndex,2006,2603053759,3364.5960676655673,0.5949312912277045
social,equality,Bottom-40,genderGapIndex,2007,2653009084,3535.268866028447,0.5870476445292865
social,equality,Bottom-40,genderGapIndex,2008,2702827948,3610.051122942907,0.5877606398648206
social,equality,Bottom-40,genderGapIndex,2009,2753383258,3750.9271133463844,0.5760137855661356
social,equality,Bottom-40,genderGapIndex,2010,2805146425,3922.7989711566956,0.5675255546615539
social,equality,Bottom-40,genderGapIndex,2011,2857666970,4090.7070473977606,0.5622774712954044
social,equality,Bottom-40,genderGapIndex,2012,2909842581,4186.235956477863,0.5585114085496298
social,equality,Bottom-40,genderGapIndex,2013,2960816829,4332.8059941810725,0.5542365624246457
social,equality,Bottom-40,genderGapIndex,2014,3011628425,4535.02554695132,0.5478137877347867
social,equality,Bottom-40,genderGapIndex,2015,3062875450,4735.119735734198,0.5323298800814771
social,equality,Bottom-40,genderGapIndex,2016,3115693132,4915.240337794042,0.5291483724184042
social,equality,Bottom-40,genderGapIndex,2017,3169850445,5120.5307683583815,0.5285227327155493
social,equality,Bottom-40,genderGapIndex,2018,3224035582,5321.156386454672,0.525282731737233
social,equality,Bottom-40,genderGapIndex,2019,3278266405,5452.071848500109,0.5119174157232654
social,equality,Bottom-40,genderGapIndex,2020,3332830632,5153.378626392607,0.4983085047959317
social,equality,Bottom-40,genderGapIndex,2021,3385613874,5387.598022097538,0.496033481454241
social,equality,Bottom-40,genderGapIndex,2022,3436973883,5636.707215304104,0.4894615344765481
social,equality,Middle-40,genderGapIndex,2000,2764556454,7695.0814923465805,0.3797989403091423
social,equality,Middle-40,genderGapIndex,2001,2788501047,7904.465838239397,0.3807270800034955
social,equality,Middle-40,genderGapIndex,2002,2811253682,8170.0205398361695,0.3764690333616787
social,equality,Middle-40,genderGapIndex,2003,2833550634,8531.011531184711,0.36605792289081784
social,equality,Middle-40,genderGapIndex,2004,2856233227,9076.106136827244,0.36556991750975104
social,equality,Middle-40,genderGapIndex,2005,2879084923,9585.718442984766,0.36276389653234276
social,equality,Middle-40,genderGapIndex,2006,2901822819,10285.672133265622,0.35804479509332854
social,equality,Middle-40,genderGapIndex,2007,2924677305,11087.338987629259,0.3506380390769299
social,equality,Middle-40,genderGapIndex,2008,2948552268,11620.35087626308,0.35034487517044755
social,equality,Middle-40,genderGapIndex,2009,2973504405,11629.154565908282,0.34379537169543894
social,equality,Middle-40,genderGapIndex,2010,2998779245,12302.42109379772,0.3359106945032895
social,equality,Middle-40,genderGapIndex,2011,3024019897,12868.278255659492,0.3348282427663537
social,equality,Middle-40,genderGapIndex,2012,3050651475,13417.698398778912,0.3269127192023796
social,equality,Middle-40,genderGapIndex,2013,3078950711,13859.397659636572,0.3213669062248915
social,equality,Middle-40,genderGapIndex,2014,3107606734,14318.201888567874,0.3174260104634591
social,equality,Middle-40,genderGapIndex,2015,3135241667,14683.05734184212,0.31151239298485633
social,equality,Middle-40,genderGapIndex,2016,3160549377,15092.793385288833,0.2989818465949567
