variant,country,iso3c,date,population
estimate,World,WLD,1950,2499322166
estimate,World,WLD,1951,2543130378
estimate,World,WLD,1952,2590270906
estimate,World,WLD,1953,2640278794
estimate,World,WLD,1954,2691979337
estimate,World,WLD,1955,2746072148
estimate,World,WLD,1956,2801002636
estimate,World,WLD,1957,2857866860
estimate,World,WLD,1958,2916108105
estimate,World,WLD,1959,2970292190
estimate,World,WLD,1960,3019233440
estimate,World,WLD,1961,3068370619
estimate,World,WLD,1962,3126686740
estimate,World,WLD,1963,3195779257
estimate,World,WLD,1964,3267212339
estimate,World,WLD,1965,3337111985
estimate,World,WLD,1966,3406417033
estimate,World,WLD,1967,3475448169
estimate,World,WLD,1968,3546810807
estimate,World,WLD,1969,3620655280
estimate,World,WLD,1970,3695390341
estimate,World,WLD,1971,3770163098
estimate,World,WLD,1972,3844800878
estimate,World,WLD,1973,3920251508
estimate,World,WLD,1974,3995517084
estimate,World,WLD,1975,4069437227
estimate,World,WLD,1976,4142505884
estimate,World,WLD,1977,4215772501
estimate,World,WLD,1978,4289657717
estimate,World,WLD,1979,4365582875
estimate,World,WLD,1980,4444007709
estimate,World,WLD,1981,4524627657
estimate,World,WLD,1982,4607984872
estimate,World,WLD,1983,4691884240
estimate,World,WLD,1984,4775836077
estimate,World,WLD,1985,4861730608
estimate,World,WLD,1986,4950063343
estimate,World,WLD,1987,5040984495
estimate,World,WLD,1988,5132293981
estimate,World,WLD,1989,5223704322
estimate,World,WLD,1990,5316175864
estimate,World,WLD,1991,5406245869
estimate,World,WLD,1992,5492686096
estimate,World,WLD,1993,5577433521
estimate,World,WLD,1994,5660727990
estimate,World,WLD,1995,5743219462
estimate,World,WLD,1996,5825145290
estimate,World,WLD,1997,5906481265
estimate,World,WLD,1998,5987312479
estimate,World,WLD,1999,6067758458
estimate,World,WLD,2000,6148898973
estimate,World,WLD,2001,6230746982
estimate,World,WLD,2002,6312407369
estimate,World,WLD,2003,6393898366
estimate,World,WLD,2004,6475751482
estimate,World,WLD,2005,6558176116
estimate,World,WLD,2006,6641416217
estimate,World,WLD,2007,6725948551
estimate,World,WLD,2008,6811597273
estimate,World,WLD,2009,6898305916
estimate,World,WLD,2010,6985603108
estimate,World,WLD,2011,7073125424
estimate,World,WLD,2012,7161697923
estimate,World,WLD,2013,7250593371
estimate,World,WLD,2014,7339013409
estimate,World,WLD,2015,7426597544
estimate,World,WLD,2016,7513474241
estimate,World,WLD,2017,7599822416
estimate,World,WLD,2018,7683789830
estimate,World,WLD,2019,7764951042
estimate,World,WLD,2020,7840952880
estimate,World,WLD,2021,7909295146
estimate,World,WLD,2022,7975105157
estimate,World,WLD,2023,8045311446
estimate,World,WLD,2024,8118835991
estimate,World,WLD,2025,8191988467
estimate,World,WLD,2026,8264364506
estimate,World,WLD,2027,8335977667
estimate,World,WLD,2028,8406828787
estimate,World,WLD,2029,8476889384
estimate,World,WLD,2030,8546141335
estimate,World,WLD,2031,8614532748
estimate,World,WLD,2032,8682091984
estimate,World,WLD,2033,8748798551
estimate,World,WLD,2034,8814575174
estimate,World,WLD,2035,8879397394
estimate,World,WLD,2036,8943206694
estimate,World,WLD,2037,9006026374
estimate,World,WLD,2038,9067889031
estimate,World,WLD,2039,9128661215
estimate,World,WLD,2040,9188250499
estimate,World,WLD,2041,9246673296
estimate,World,WLD,2042,9303896851
estimate,World,WLD,2043,9359836422
estimate,World,WLD,2044,9414408427
estimate,World,WLD,2045,9467543577
estimate,World,WLD,2046,9519190806
estimate,World,WLD,2047,9569297881
estimate,World,WLD,2048,9617774469
estimate,World,WLD,2049,9664516146
estimate,World,WLD,2050,9709491759
estimate,World,WLD,2051,9752656916
estimate,World,WLD,2052,9794102033
estimate,World,WLD,2053,9833861188
estimate,World,WLD,2054,9871900601
estimate,World,WLD,2055,9908304872
estimate,World,WLD,2056,9943123262
estimate,World,WLD,2057,9976440151
estimate,World,WLD,2058,10008310106
estimate,World,WLD,2059,10038705862
estimate,World,WLD,2060,10067733598
estimate,World,WLD,2061,10095573064
estimate,World,WLD,2062,10122307685
estimate,World,WLD,2063,10147949115
estimate,World,WLD,2064,10172513781
estimate,World,WLD,2065,10195964907
estimate,World,WLD,2066,10218273018
estimate,World,WLD,2067,10239583780
estimate,World,WLD,2068,10259872995
estimate,World,WLD,2069,10279074866
estimate,World,WLD,2070,10297166709
estimate,World,WLD,2071,10314142307
estimate,World,WLD,2072,10330059857
estimate,World,WLD,2073,10344891481
estimate,World,WLD,2074,10358552761
estimate,World,WLD,2075,10370994191
estimate,World,WLD,2076,10382180395
estimate,World,WLD,2077,10392081998
estimate,World,WLD,2078,10400749750
estimate,World,WLD,2079,10408266920
estimate,World,WLD,2080,10414637182
estimate,World,WLD,2081,10419851486
estimate,World,WLD,2082,10424022893
estimate,World,WLD,2083,10427226395
estimate,World,WLD,2084,10429447400
estimate,World,WLD,2085,10430679102
estimate,World,WLD,2086,10430926276
estimate,World,WLD,2087,10430267618
estimate,World,WLD,2088,10428830632
estimate,World,WLD,2089,10426601143
estimate,World,WLD,2090,10423541037
estimate,World,WLD,2091,10419647133
estimate,World,WLD,2092,10414959832
estimate,World,WLD,2093,10409491093
estimate,World,WLD,2094,10403272155
estimate,World,WLD,2095,10396305851
estimate,World,WLD,2096,10388517141
estimate,World,WLD,2097,10379888452
estimate,World,WLD,2098,10370445194
estimate,World,WLD,2099,10360269358
estimate,World,WLD,2100,10349323037
