country,iso3c,population,GNIperCap,b40m40t20_ts,wldPop,popShare,cumPopShare
Andorra,AND,74167.47826086957,54064.882826086956,3,7017547322.141546,0.001,0.001
Australia,AUS,22440974.56521739,44002.33330434783,3,7017547322.141546,0.32,0.321
Austria,AUT,8467372,51782.86043478261,3,7017547322.141546,0.121,0.442
Bahamas,BHS,373295.1304347826,33680.559260869566,3,7017547322.141546,0.005,0.447
Bahrain,BHR,1167459.1304347827,45188.80613043478,3,7017547322.141546,0.017,0.464
Belgium,BEL,10954446.391304348,48787.59108695652,3,7017547322.141546,0.156,0.62
Brunei Darussalam,BRN,397759.7826086957,66321.30808695652,3,7017547322.141546,0.006,0.626
Canada,CAN,34428926.08695652,45042.74382608695,3,7017547322.141546,0.491,1.117
Cyprus,CYP,1123212.4782608696,36012.56886956522,3,7017547322.141546,0.016,1.133
Denmark,DNK,5588941.217391305,53636.72639130435,3,7017547322.141546,0.08,1.213
Finland,FIN,5376119.304347826,45958.83408695652,3,7017547322.141546,0.077,1.29
France,FRA,62301583,43635.798217391304,3,7017547322.141546,0.888,2.178
Germany,DEU,81921293.95652173,49371.71343478261,3,7017547322.141546,1.167,3.345
Hong Kong,HKG,7181672.608695652,52207.08534782608,3,7017547322.141546,0.102,3.447
Iceland,ISL,323060.4347826087,46521.15321739131,3,7017547322.141546,0.005,3.452
Ireland,IRL,4471097.478260869,54232.028086956525,3,7017547322.141546,0.064,3.516
Israel,ISR,7511438.521739131,34826.85239130435,3,7017547322.141546,0.107,3.623
Italy,ITA,59085364.04347826,42652.677652173916,3,7017547322.141546,0.842,4.465
Japan,JPN,127049236.7826087,40226.68313043478,3,7017547322.141546,1.81,6.275
"Korea, Republic of",KOR,49506435.08695652,34812.314608695655,3,7017547322.141546,0.705,6.98
Kuwait,KWT,3190886.1304347827,66823.97752173913,3,7017547322.141546,0.045,7.025
Liechtenstein,LIE,36229.260869565216,119422.0605652174,3,7017547322.141546,0.001,7.026
Luxembourg,LUX,529774.2608695652,86168.95995652174,3,7017547322.141546,0.008,7.034
Malta,MLT,444119.95652173914,33344.00713043478,3,7017547322.141546,0.006,7.04
Netherlands,NLD,16725428.043478262,51409.88434782609,3,7017547322.141546,0.238,7.278
New Zealand,NZL,4442326.869565218,37415.63413043478,3,7017547322.141546,0.063,7.341
Norway,NOR,4954624.869565218,63646.175,3,7017547322.141546,0.071,7.412
Oman,OMN,3412140.3913043477,35118.250869565214,3,7017547322.141546,0.049,7.461
Qatar,QAT,1775093.043478261,90757.67960869565,3,7017547322.141546,0.025,7.486
San Marino,SMR,31588.434782608696,66575.83643478261,3,7017547322.141546,0,7.486
Saudi Arabia,SAU,29509767.739130434,44889.98669565217,3,7017547322.141546,0.421,7.907
Singapore,SGP,5117418.391304348,75263.65269565217,3,7017547322.141546,0.073,7.98
Spain,ESP,45348334.73913044,37331.935,3,7017547322.141546,0.646,8.626
Sweden,SWE,9564739.913043479,49160.72773913044,3,7017547322.141546,0.136,8.762
Switzerland,CHE,7934130.739130435,65861.56008695652,3,7017547322.141546,0.113,8.875
United Arab Emirates,ARE,7171237.304347826,76061.61895652174,3,7017547322.141546,0.102,8.977
United Kingdom,GBR,63231019.39130435,42936.03317391304,3,7017547322.141546,0.901,9.878
United States,USA,312923539.8695652,57330.85413043478,3,7017547322.141546,4.459,14.337
Antigua and Barbuda,ATG,85603.91304347826,18513.491652173914,2,7017547322.141546,0.001,14.338
Argentina,ARG,41500545.39130435,20688.860173913043,2,7017547322.141546,0.591,14.929
Barbados,BRB,274362.26086956525,15120.532782608696,2,7017547322.141546,0.004,14.933
Belarus,BLR,9808264.652173912,15301.516260869565,2,7017547322.141546,0.14,15.073
Bulgaria,BGR,7499218.521739131,17797.60154347826,2,7017547322.141546,0.107,15.18
Chile,CHL,17309750.608695652,20265.668,2,7017547322.141546,0.247,15.427
Costa Rica,CRI,4647287.565217392,16374.789782608696,2,7017547322.141546,0.066,15.493
Croatia,HRV,4315856.260869565,24865.291304347826,2,7017547322.141546,0.062,15.555
Czech Republic,CZE,10418644.260869564,32037.895304347825,2,7017547322.141546,0.148,15.703
Equatorial Guinea,GNQ,1159174.956521739,15872.50647826087,2,7017547322.141546,0.017,15.719999999999999
Estonia,EST,1339410.4347826086,28078.669695652174,2,7017547322.141546,0.019,15.738999999999999
Greece,GRC,10889162.173913043,30994.744043478262,2,7017547322.141546,0.155,15.894
Hungary,HUN,9956246.260869564,25179.894608695653,2,7017547322.141546,0.142,16.036
Kazakhstan,KAZ,17022093.086956523,18493.055304347825,2,7017547322.141546,0.243,16.279
Latvia,LVA,2095403.1739130435,23729.151782608697,2,7017547322.141546,0.03,16.309
Lebanon,LBN,5246287.478260869,15538.802565217391,2,7017547322.141546,0.075,16.384
Libya,LBY,6099888.565217392,25452.648434782608,2,7017547322.141546,0.087,16.471
Lithuania,LTU,3136996.9565217393,26339.71495652174,2,7017547322.141546,0.045,16.516
Malaysia,MYS,28908678.304347824,20774.71343478261,2,7017547322.141546,0.412,16.928
Maldives,MDV,389181.95652173914,15407.275173913044,2,7017547322.141546,0.006,16.934
Mauritius,MUS,1275114.652173913,17915.17104347826,2,7017547322.141546,0.018,16.951999999999998
Mexico,MEX,113835935.82608695,18243.37165217391,2,7017547322.141546,1.622,18.573999999999998
Montenegro,MNE,631897.5652173914,17211.744391304346,2,7017547322.141546,0.009,18.583
Palau,PLW,18675.695652173912,17267.75704347826,2,7017547322.141546,0,18.583
Panama,PAN,3699059.5217391304,22322.919739130433,2,7017547322.141546,0.053,18.636
Poland,POL,38609353.82608695,24031.037739130436,2,7017547322.141546,0.55,19.186
Portugal,PRT,10429399.869565217,31168.732086956523,2,7017547322.141546,0.149,19.335
Romania,ROU,20420431.826086957,21529.096130434784,2,7017547322.141546,0.291,19.626
Russian Federation,RUS,144565824.60869566,22653.065260869567,2,7017547322.141546,2.06,21.686
Saint Kitts and Nevis,KNA,47208.086956521736,24268.83995652174,2,7017547322.141546,0.001,21.687
Seychelles,SYC,93845.60869565218,22592.460782608698,2,7017547322.141546,0.001,21.688
Slovakia,SVK,5415924.521739131,24810.775413043477,2,7017547322.141546,0.077,21.765
Slovenia,SVN,2054012.7391304348,33198.643217391305,2,7017547322.141546,0.029,21.794
Suriname,SUR,551438.3913043478,14464.272304347825,2,7017547322.141546,0.008,21.802
Trinidad and Tobago,TTO,1426783.391304348,24237.733086956523,2,7017547322.141546,0.02,21.822
Turkey,TUR,74903530.39130434,22182.003913043478,2,7017547322.141546,1.067,22.889
Uruguay,URY,3365353.2608695654,18392.614,2,7017547322.141546,0.048,22.937
Venezuela,VEN,28136624.173913043,15062.641652173914,2,7017547322.141546,0.401,23.338
Albania,ALB,2954094.304347826,10617.270330434783,2,7017547322.141546,0.042,23.38
Algeria,DZA,37083178.39130435,10585.468869565217,2,7017547322.141546,0.528,23.908
Armenia,ARM,2947563.0434782607,10117.495230434783,2,7017547322.141546,0.042,23.95
Azerbaijan,AZE,9346566.739130436,10922.478447826086,2,7017547322.141546,0.133,24.083
Belize,BLZ,327205.47826086957,8580.69952173913,2,7017547322.141546,0.005,24.088
Bosnia and Herzegovina,BIH,3753347.565217391,11333.971273913043,2,7017547322.141546,0.053,24.141
Botswana,BWA,2150836.3913043477,12795.410739130435,2,7017547322.141546,0.031,24.172
