domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value,_join_code,indCode,date_grp,dimension_grp,domain_grp,group_grp,indicator_grp,type_grp,value_grp
ecological,climate change,global doughnut,World,co2_ppm,2000,,,368.96,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2001,,,370.57,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2002,,,372.58,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2003,,,375.14,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2004,,,376.95,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2005,,,378.98,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2006,,,381.15,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2007,,,382.9,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2008,,,385.02,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2009,,,386.5,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2010,,,388.76,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2011,,,390.63,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2012,,,392.65,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2013,,,395.4,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2014,,,397.34,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2015,,,399.65,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2016,,,403.07,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2017,,,405.22,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2018,,,407.61,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2019,,,410.07,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2020,,,412.44,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2021,,,414.7,co2,,,,,,,,
ecological,climate change,global doughnut,World,co2_ppm,2022,,,417.07,co2,,,,,,,,
ecological,climate change,global doughnut,World,erf_wm2,2000,,,1.768161509,,,,,,,,,
ecological,climate change,global doughnut,World,erf_wm2,2001,,,1.800168769,,,,,,,,,
