,,date,date,value,value
,,first,last,first,last
dimension,indicator,,,,
Connectivity,Population not accessing the internet,2000,2022,93.52,35.82
Connectivity,"Urban population lacking convenient access to public
transport",2020,2022,52.71,52.71
Education,Adult population (aged 15+ years) who are illiterate,2000,2022,23.13,16.15
Education,"Young adult population (aged 21-23 years) with
incomplete upper secondary education",2000,2022,60.87,36.91
Energy,Population lacking access to electricity,2000,2022,21.71,8.51
Energy,"Population lacking access to clean fuels and
technologies for cooking, heating and lighting",2000,2022,50.49,25.92
Equality,"Population-weighted score on the Gender Inequality
Index (global gap between women and men...)",2000,2022,45.69,34.72
Food,Population with moderate to severe food insecurity,2015,2022,22.24,29.36
Food,Population undernourished,2000,2022,13.09,9.62
Health,"Population living in countries without high coverage
of essential health services...",2000,2022,79.05,28.07
Health,"Population living in countries with under-5
mortality rate exceeding 25 per 1,000...",2000,2022,75.4,42.62
Housing,Urban population living in slums or informal settlements,2000,2022,39.71,32.07
Income and work,Population living below the societal poverty line...,2000,2022,84.92,72.51
Income and work,"Population of young people (aged 15-24 years) not
in employment, education or training",2005,2022,24.97,20.31
Peace and justice,"Population stating that they perceive
widespread corruption in government and business",2005,2022,79.94,74.78
Peace and justice,"Population living in countries with a homicide rate
of 5 or more per 100,000",2000,2022,28.45,19.52
Political voice,Population living in countries governed by an autocratic regime,2000,2022,46.64,70.76
Social cohesion,Population living in countries with a Palma ratio of 2 or more...,2000,2022,71.33,64.67
Social cohesion,"Population stating that they are without someone to
count on in times of trouble",2005,2022,20.47,23.01
Water,Population lacking access to safely managed drinking water,2000,2022,39.31,36.64
Water,Population lacking access to safely managed sanitation,2000,2022,66.31,41.17
