"Social.Category","Source","gender.main","gender_norm.main","gender.ext","gender_norm.ext","gender.red","gender_norm.red","age.main","age_norm.main","age.ext","age_norm.ext","age.red","age_norm.red"
"abandoned infant","GPT2",-0.19708686,0.540876709569633,0.0016623149,0.52716227622426,-0.10824316,0.561858368329401,-0.07023683,0.357426470333575,-0.004732379,0.319985280266438,-0.055445667,0.419423459704789
"abandoned person","GPT2",-0.19913393,0.53557676852383,0.0012359833,0.523567306811616,-0.110507034,0.554830213853777,-0.065569766,0.38229391725653,-0.0011775186,0.343708417354964,-0.04898906,0.477158512790783
"abiogenist","GPT2",-0.2311558,0.452670945480957,0.004316671,0.549544686980974,-0.15107472,0.428888591693446,-0.097011924,0.214761139645557,-0.026443597,0.175096833740412,-0.06378384,0.344863422088251
"able-bodied seaman","GPT2",-0.16294762,0.629264482996301,0.0013414258,0.524456432933847,-0.067956425,0.686927783366862,-0.04203567,0.507690287042703,0.016285926,0.460249615508256,-0.043687154,0.524568216427221
"able seaman","GPT2",-0.1814258,0.581423781587096,0.0023300517,0.532792854327543,-0.08904282,0.621465464618548,-0.055517398,0.435855798492788,0.006878853,0.397472106050845,-0.049393672,0.473540467693841
"abolitionist","GPT2",-0.23886938,0.432700197410746,-0.0072072893,0.45237083265952,-0.15051098,0.430638711975797,-0.09018831,0.251119299501033,-0.016083756,0.244232580465751,-0.06668688,0.318904405454473
"abortionist","GPT2",-0.14807923,0.667759302639015,0.00048491778,0.517234073311467,-0.054561913,0.728510795257804,-0.041345403,0.511368226317838,0.0231303,0.505925114520017,-0.054026715,0.432111744595983
"absentee","GPT2",-0.22760051,0.461875724702348,0.00062854995,0.518445227393927,-0.14107844,0.45992185592175,-0.08159473,0.296908342575688,-0.011389153,0.275561718044602,-0.05762601,0.399926807848686
"absolutist","GPT2",-0.23815823,0.434541391446476,-0.008590659,0.440705800656545,-0.14247605,0.455583001826214,-0.080186434,0.304412144973043,-0.009544551,0.287871553367466,-0.059602253,0.382255220509419
"abstract artist","GPT2",-0.26970664,0.352861374110074,-0.008957153,0.437615401727829,-0.16976544,0.370863601159242,-0.09288965,0.236725790204641,-0.014478741,0.254943547026953,-0.06459585,0.337602419450742
