"category","subj","age","ideal_age","condition","gender"
"aeronauticalengineer","55595b70fdf99b387ae30d2b",50.27,50.4,"Control","Male"
"aeronauticalengineer","55900dcffdf99b3f7aada3f5",41.82,42.49,"Control","Not Sure"
"aeronauticalengineer","57210674951c9b0011d3eaaa",32.71,27.08,"Control","Not Sure"
"aeronauticalengineer","5843241166ef8c00018955fd",39.95,40.35,"Control","Male"
"aeronauticalengineer","59baa339ab8d830001fe56f5",40.08,40.08,"Control","Male"
"aeronauticalengineer","5a9a6f5f35237b000112920f",34.05,34.18,"Control","Not Sure"
"aeronauticalengineer","5aaae8c215253500012c5997",35.39,37.27,"Control","Male"
"aeronauticalengineer","5b75b2ebc5e14d00013669fc",47.72,39.41,"Control","Not Sure"
"aeronauticalengineer","5bcf9a4765502300013b74a6",40.75,44.77,"Control","Male"
"aeronauticalengineer","5c144c641f6f1500014950e5",46.25,43.43,"Control","Male"
"aeronauticalengineer","5c28feff5ffcb7000128a541",39.68,39.14,"Control","Male"
"aeronauticalengineer","5c2db72a8a20f50001e9e9a5",42.23,36.65,"Control","Not Sure"
"aeronauticalengineer","5c4783b51d1ad90001228d05",50.13,54.29,"Control","Not Sure"
"aeronauticalengineer","5cb788bf7f88600001242d9d",50.13,54.69,"Control","Male"
"aeronauticalengineer","5d1555fe628de0001966c2fa",35.12,28.28,"Control","Male"
"aeronauticalengineer","5d16badb7b0154001a282fdb",50.4,50,"Control","Male"
"aeronauticalengineer","5d1ba5653788ac0019ced548",44.91,47.05,"Control","Not Sure"
"aeronauticalengineer","5d1beb9c9e033e0017a725dc",34.99,38.07,"Control","Male"
"aeronauticalengineer","5d423e1ef1006e00016a95e1",44.64,42.36,"Control","Male"
"aeronauticalengineer","5d8a1d20d1afcb0019d7390b",38.34,35.39,"Control","Male"
"aeronauticalengineer","5dcfcf3b070fdc0d5fd1952c",45.31,30.16,"Control","Male"
"aeronauticalengineer","5dd32432e0b21b3472c20ebe",34.32,48.79,"Control","Male"
"aeronauticalengineer","5dd43df7e0b21b434418ae6c",32.31,34.18,"Control","Male"
"aeronauticalengineer","5ddcd77f23f9f1c2c45d6c18",42.09,35.25,"Control","Male"
"aeronauticalengineer","5df80710e297d55a34ee39f0",44.24,39.68,"Control","Male"
"aeronauticalengineer","5eb81d360943fe74d6aba62b",34.32,45.44,"Control","Male"
"aeronauticalengineer","5ecc6fb87c7c7646490f3cf8",45.84,43.03,"Control","Male"
"aeronauticalengineer","5eeab6216c7dc71dd2dae2ef",44.24,38.07,"Control","Male"
"aeronauticalengineer","5eebc46343ee1b16159a1c8e",32.17,33.24,"Control","Male"
"aeronauticalengineer","5eed1bae9e63ac127ac15a77",37.8,35.12,"Control","Not Sure"
"aeronauticalengineer","5f2993920dddf60b87611e5c",36.06,37.27,"Control","Not Sure"
"aeronauticalengineer","5f7654f879a4420e6d20971b",38.2,35.66,"Control","Male"
"aeronauticalengineer","5f7d026c6fd2421d2dc1af04",36.46,31.9,"Control","Male"
"aeronauticalengineer","5fe0d610dd8cf1a331961cbe",45.71,40.75,"Control","Male"
"aeronauticalengineer","5fe146b36a3657bd99f9c179",38.2,35.25,"Control","Male"
"aeronauticalengineer","607c9f94cc974d4ea1dc22c8",45.98,35.52,"Control","Not Sure"
"aeronauticalengineer","607e3f2b4e935b3bd8c828b8",41.02,35.66,"Control","Male"
"aeronauticalengineer","60870dd7e185006f4bc26266",35.39,37.8,"Control","Male"
"aeronauticalengineer","60d3aa9722bb0097de874bc6",31.23,31.1,"Control","Male"
"aeronauticalengineer","60da00bc6e404d9b0a9f576f",38.34,40.08,"Control","Male"
"aeronauticalengineer","60e45acbc927879ccc9637c4",35.39,47.32,"Control","Male"
"aeronauticalengineer","60f8adb9a315f316c3aee425",40.75,40.35,"Control","Male"
"aeronauticalengineer","60fb383e30537b88f361934e",37.4,36.33,"Control","Male"
"aeronauticalengineer","60fccfd7f6641e2f828fddc3",50.8,43.57,"Control","Male"
"aeronauticalengineer","60fcee3336ac6ea26b64e61e",48.92,28.31,"Control","Male"
"aeronauticalengineer","6108d6efa698e3dbe3b313d3",27.61,38.61,"Control","Male"
"aeronauticalengineer","611158600361b86e45f99bd5",36.19,35.66,"Control","Male"
"aeronauticalengineer","61172bdbb798bf0671969848",50.8,45.58,"Control","Male"
"aeronauticalengineer","61292ee5ddbd833a37efea36",44.77,47.05,"Control","Not Sure"
"aeronauticalengineer","612b86da38f96808af7bb1da",36.86,37.94,"Control","Male"
"aeronauticalengineer","6143af8721d1445864c4f6c8",53.75,52.28,"Control","Male"
"aeronauticalengineer","6151c93f62e26ed6871a5fbd",46.65,41.82,"Control","Male"
"aeronauticalengineer","615e420a23219efe3427a367",58.58,55.23,"Control","Male"
"aeronauticalengineer","6237ca974050879378c8fea8",37.54,35.21,"Control","Male"
"aeronauticalengineer","6288c55999c075200b4bfc41",34.32,26.14,"Control","Male"
"aeronauticalengineer","6295446d54e178eeb22d82bb",34.45,33.51,"Control","Not Sure"
"aeronauticalengineer","62bdfe451d380bec13a4a864",37,33.24,"Control","Male"
"aeronauticalengineer","62d6e24cf74647ef51a16300",45.71,35.25,"Control","Male"
"aeronauticalengineer","62fb59166b94e6240417f7c7",41.68,21.81,"Control","Male"
"aeronauticalengineer","631ff899c56260cb62016bca",50.67,30.29,"Control","Male"
"aeronauticalengineer","633c95452b85b5d479a1487b",45.04,37.8,"Control","Male"
"aeronauticalengineer","633f6d8b53e5f194a6f73724",48.93,48.12,"Control","Male"
"aeronauticalengineer","634865f77fe29563ec6f621c",36.6,37.8,"Control","Male"
"aeronauticalengineer","6365437b0637981c7666125b",30.97,27.56,"Control","Male"
"aeronauticalengineer","6376916db0ae9a57d377d0d2",40.84,45.98,"Control","Male"
"aeronauticalengineer","637ce608b8f8f923bf784d84",51.47,46.92,"Control","Male"
"aeronauticalengineer","63a61fb6d5fc263974567550",40.08,38.07,"Control","Not Sure"
"aeronauticalengineer","63d1401242635aaffe867c4c",35.79,30.83,"Control","Male"
"aeronauticalengineer","63d79c3ca0d0c4b632fdc42f",41.42,37.53,"Control","Male"
"aeronauticalengineer","63e5517cd738b83025348a43",40.3,40.03,"Control","Not Sure"
"aeronauticalengineer","63f77fef0855adb7fa65873d",43.97,42.9,"Control","Male"
"aeronauticalengineer","63f93660b863689518fb98d8",39.54,40.88,"Control","Male"
"aeronauticalengineer","63ff612a5b78c13aa28fa88c",46.25,44.37,"Control","Male"
"aeronauticalengineer","64012a2623351894f2917605",34.85,37,"Control","Male"
"aeronauticalengineer","6413ed6a23881edc2e190e15",45.04,47.45,"Control","Male"
"aeronauticalengineer","642b00a2650a286366bd62fb",42.09,41.82,"Control","Male"
"aeronauticalengineer","64499fee96893c7a3ec6b883",40.48,30.7,"Control","Male"
"aeronauticalengineer","64509bfcd8d8b7e61f801e95",35.79,45.31,"Control","Male"
"aeronauticalengineer","6455616c0fe23ecca70ce1b9",40.21,40.35,"Control","Not Sure"
"aeronauticalengineer","64611527e772cd2f9932aeab",49.2,30.43,"Control","Male"
"aeronauticalengineer","64a5e28179aa71f8f7d29e69",38.61,38.2,"Control","Not Sure"
"aeronauticalengineer","64b74fc78ad5beabe87e901f",43.7,55.76,"Control","Male"
