"subj","category","age","gender","condition"
"55a55bd7fdf99b790558627c","artstudent",18.63,"Female","Image"
"55a55bd7fdf99b790558627c","astronaut",30.29,"Female","Image"
"55a55bd7fdf99b790558627c","automotiveengineer",36.06,"Male","Image"
"55a55bd7fdf99b790558627c","chiefexecutiveofficer",46.11,"Female","Image"
"55a55bd7fdf99b790558627c","computerexpert",30.7,"Female","Image"
"55a55bd7fdf99b790558627c","cosmeticsurgeon",42.36,"Male","Image"
"55a55bd7fdf99b790558627c","dressmaker",34.05,"Female","Image"
"55a55bd7fdf99b790558627c","editorinchief",45.84,"Female","Image"
"55a55bd7fdf99b790558627c","englishteacher",34.45,"Female","Image"
"55a55bd7fdf99b790558627c","fashionmodel",23.46,"Female","Image"
"55a55bd7fdf99b790558627c","geneticist",40.35,"Female","Image"
"55a55bd7fdf99b790558627c","graphicdesigner",29.49,"Female","Image"
"55a55bd7fdf99b790558627c","immunologist",40.62,"Female","Image"
"55a55bd7fdf99b790558627c","intelligenceagent",40.75,"Male","Image"
"55a55bd7fdf99b790558627c","intelligenceanalyst",35.52,"Male","Image"
"55a55bd7fdf99b790558627c","literaryagent",40.08,"Female","Image"
"55a55bd7fdf99b790558627c","logician",63.81,"Male","Image"
"55a55bd7fdf99b790558627c","nursepractitioner",31.5,"Female","Image"
"55a55bd7fdf99b790558627c","professor",45.98,"Male","Image"
"55a55bd7fdf99b790558627c","screenactor",30.29,"Male","Image"
"55a55bd7fdf99b790558627c","singer",26.54,"Female","Image"
"55a55bd7fdf99b790558627c","trainednurse",34.99,"Female","Image"
"55ea70c37480920010aa9982","aeronauticalengineer",44.64,"Male","Image"
"55ea70c37480920010aa9982","astrophysicist",45.84,"Male","Image"
"55ea70c37480920010aa9982","bookkeeper",38.07,"Female","Image"
"55ea70c37480920010aa9982","climatologist",38.07,"Not Sure","Image"
"55ea70c37480920010aa9982","computerexpert",32.04,"Male","Image"
"55ea70c37480920010aa9982","cosmeticsurgeon",42.63,"Male","Image"
"55ea70c37480920010aa9982","editorinchief",44.1,"Female","Image"
"55ea70c37480920010aa9982","englishprofessor",48.26,"Male","Image"
"55ea70c37480920010aa9982","fashionmodel",34.32,"Female","Image"
"55ea70c37480920010aa9982","financialanalyst",38.07,"Male","Image"
"55ea70c37480920010aa9982","graphicdesigner",35.52,"Female","Image"
"55ea70c37480920010aa9982","harpist",39.14,"Female","Image"
"55ea70c37480920010aa9982","intelligenceagent",40.21,"Female","Image"
"55ea70c37480920010aa9982","intelligenceanalyst",40.21,"Female","Image"
"55ea70c37480920010aa9982","literaryagent",48.39,"Female","Image"
"55ea70c37480920010aa9982","marineengineer",39.14,"Male","Image"
"55ea70c37480920010aa9982","mediaconsultant",38.47,"Female","Image"
"55ea70c37480920010aa9982","model",30.7,"Female","Image"
"55ea70c37480920010aa9982","neurobiologist",45.31,"Male","Image"
"55ea70c37480920010aa9982","nursepractitioner",38.47,"Female","Image"
