domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value
ecological,freshwater disruption,global doughnut,World,blueDev,2000,NA,NA,0.178260506
ecological,freshwater disruption,global doughnut,World,blueDev,2001,NA,NA,0.186394076
ecological,freshwater disruption,global doughnut,World,blueDev,2002,NA,NA,0.190024222
ecological,freshwater disruption,global doughnut,World,blueDev,2003,NA,NA,0.17694945
ecological,freshwater disruption,global doughnut,World,blueDev,2004,NA,NA,0.169619058
ecological,freshwater disruption,global doughnut,World,blueDev,2005,NA,NA,0.185958863
ecological,freshwater disruption,global doughnut,World,blueDev,2006,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2007,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2008,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2009,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2010,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2011,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2012,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2013,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2014,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2015,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2016,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2017,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2018,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2019,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2020,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2021,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,blueDev,2022,NA,NA,NA
ecological,freshwater disruption,global doughnut,World,soilDev,2000,NA,NA,15.4341226
ecological,freshwater disruption,global doughnut,World,soilDev,2001,NA,NA,16.3706921
ecological,freshwater disruption,global doughnut,World,soilDev,2002,NA,NA,15.8370206
ecological,freshwater disruption,global doughnut,World,soilDev,2003,NA,NA,16.0208689
ecological,freshwater disruption,global doughnut,World,soilDev,2004,NA,NA,16.0148805
