domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value
ecological,air pollution,global doughnut,World,interhemAOD,2000,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2001,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2002,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2003,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2004,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2005,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2006,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2007,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2008,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2009,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2010,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2011,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2012,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2013,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2014,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2015,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2016,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2017,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2018,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2019,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2020,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2021,NA,NA,0.08
ecological,air pollution,global doughnut,World,interhemAOD,2022,NA,NA,0.08
ecological,air pollution,national aggregate,World,airPollution_footprint,2000,6087113661,11033.593778486846,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2001,6168321963,11157.924027657036,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2002,6249366588,11289.939082169089,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2003,6330239342,11559.495576669653,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2004,6411455695,12000.204077563387,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2005,6493271134,12388.84340932646,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2006,6575894375,12881.718983200612,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2007,6659804230,13384.936003439363,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2008,6753659772,13554.87644970591,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2009,6840172498,13303.153428987966,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2010,6927291704,13796.6417931423,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2011,7014617158,14181.534053313428,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2012,7102957187,14457.278813069257,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2013,7191631788,14719.598108524537,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2014,7279857340,15050.324979535386,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2015,7367243918,15354.313495222154,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2016,7453927854,15641.917922024915,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2017,7540109842,16060.191327793138,NA
ecological,air pollution,national aggregate,World,airPollution_footprint,2018,7623892512,16431.285562868605,NA
