date,domain,dimension,type,group,indicator,populationTotal,GNIperCap,value
2000,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,284.299591064453
2001,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,284.8499145507815
2002,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,280.418121337891
2003,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,286.180206298828
2004,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,279.530242919922
2005,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,284.924530029297
2006,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,278.97724914550804
2007,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,285.796875
2008,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,280.1082611083985
2009,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,284.035171508789
2010,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,285.674591064453
2011,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,285.4143371582035
2012,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,285.3829345703125
2013,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,279.70256042480503
2014,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,285.51850891113304
2015,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,285.3684997558595
2016,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,279.178680419922
2017,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,283.7464752197265
2018,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,286.32078552246105
2019,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,279.557846069336
2020,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,281.95976257324253
2021,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,284.576843261719
2022,ecological,ozone depletion,global doughnut,World,totalOzone,NA,NA,NA
2000,ecological,ozone depletion,national aggregate,World,ozone_footprint,6087113661,11033.593778486846,NA
2001,ecological,ozone depletion,national aggregate,World,ozone_footprint,6168321963,11157.924027657036,NA
2002,ecological,ozone depletion,national aggregate,World,ozone_footprint,6249366588,11289.939082169089,NA
2003,ecological,ozone depletion,national aggregate,World,ozone_footprint,6330239342,11559.495576669653,NA
2004,ecological,ozone depletion,national aggregate,World,ozone_footprint,6411455695,12000.204077563387,NA
2005,ecological,ozone depletion,national aggregate,World,ozone_footprint,6493271134,12388.84340932646,NA
