domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,education,World,adultLiteracy,2000,5093026952,5917.170385871797,76.86538282663906
social,education,World,adultLiteracy,2001,5166913768,6053.3302219479165,76.8483537671285
social,education,World,adultLiteracy,2002,5241060503,6212.355949253122,76.91849664666668
social,education,World,adultLiteracy,2003,5315327205,6443.863703497498,77.03814295861058
social,education,World,adultLiteracy,2004,5389771095,6805.23573067239,77.29773765825479
social,education,World,adultLiteracy,2005,5464506483,7124.185745446327,77.55491354811232
social,education,World,adultLiteracy,2006,5539855588,7549.909429530162,78.01877019564584
social,education,World,adultLiteracy,2007,5616142535,8018.043228759818,78.15855129918772
social,education,World,adultLiteracy,2008,5693437575,8291.182971721888,78.57185069910291
social,education,World,adultLiteracy,2009,5771936942,8317.463511276223,79.13727228212588
social,education,World,adultLiteracy,2010,5851156871,8728.10350930272,79.7163352379221
social,education,World,adultLiteracy,2011,5930992674,9114.890355766503,80.28804292784129
social,education,World,adultLiteracy,2012,6011731298,9408.038118088427,80.67356691988134
social,education,World,adultLiteracy,2013,6092371544,9679.618518401954,80.96187052540486
social,education,World,adultLiteracy,2014,6172884565,10009.146386661932,81.35061965863058
social,education,World,adultLiteracy,2015,6252811852,10285.231504208894,81.70540584808083
social,education,World,adultLiteracy,2016,6332159184,10584.867856957708,82.17881346525317
social,education,World,adultLiteracy,2017,6411439070,10940.210043557021,82.60213145790122
social,education,World,adultLiteracy,2018,6488655762,11270.459084747567,82.95047025173822
social,education,World,adultLiteracy,2019,6563082705,11536.527075145872,83.36711409027757
social,education,World,adultLiteracy,2020,6633612122,11141.71368029333,83.609092657319
social,education,World,adultLiteracy,2021,6697928320,11731.217412729759,83.71480398391265
social,education,World,adultLiteracy,2022,6757361726,12080.37175510846,83.84852094797255
social,education,Bottom-40,adultLiteracy,2000,2347606948,2598.316835252852,61.3743025884046
social,education,Bottom-40,adultLiteracy,2001,2397098690,2670.1883414324793,61.292103941671
