domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,income and work,World,societalPoverty,2000,5449350369,10359.12004263941,0.8491608777305613
social,income and work,World,societalPoverty,2001,5521077455,10502.660527826321,0.8458145785980077
social,income and work,World,societalPoverty,2002,5591521513,10680.728573237173,0.8421768724659651
social,income and work,World,societalPoverty,2003,5661619898,10951.001650813601,0.8388299294599336
social,income and work,World,societalPoverty,2004,5732740103,11366.148395250268,0.83299255881497
social,income and work,World,societalPoverty,2005,5803890812,11740.827305809282,0.8284213662578869
social,income and work,World,societalPoverty,2006,5875087997,12213.587722575336,0.8220622644969305
social,income and work,World,societalPoverty,2007,5947858944,12711.150204462718,0.8146675259103882
social,income and work,World,societalPoverty,2008,6020959783,12910.891896549618,0.8082300411158885
social,income and work,World,societalPoverty,2009,6094252162,12729.031149314947,0.8042028349275429
social,income and work,World,societalPoverty,2010,6168831144,13210.056161205524,0.798155137331812
social,income and work,World,societalPoverty,2011,6243969616,13611.253893509855,0.7931551655949569
social,income and work,World,societalPoverty,2012,6319311431,13881.92457962637,0.7858608068943933
social,income and work,World,societalPoverty,2013,6393434346,14149.30035956638,0.7771354292387896
social,income and work,World,societalPoverty,2014,6466912470,14522.132993402276,0.770336670989559
social,income and work,World,societalPoverty,2015,6540559806,14843.95003511611,0.7640765660580802
social,income and work,World,societalPoverty,2016,6614462263,15170.96591587571,0.7564092754967889
social,income and work,World,societalPoverty,2017,6688718365,15640.688099790752,0.7470757922752238
social,income and work,World,societalPoverty,2018,6761079030,16072.741628426164,0.7395985409084032
social,income and work,World,societalPoverty,2019,6830768190,16421.106015567988,0.7343638883965226
social,income and work,World,societalPoverty,2020,6895905900,15783.783953880406,0.7402589505355965
social,income and work,World,societalPoverty,2021,6953749907,16650.605114805283,0.724897518149641
social,income and work,World,societalPoverty,2022,7008038580,17072.054188732785,0.7251347965678372
social,income and work,Bottom-40,societalPoverty,2000,2152166810,2684.540987586587,0.9851536152089693
social,income and work,Bottom-40,societalPoverty,2001,2197684548,2761.9152772266693,0.9847128408666083
social,income and work,Bottom-40,societalPoverty,2002,2242921415,2831.736967552635,0.9843504213064093
social,income and work,Bottom-40,societalPoverty,2003,2287917137,2952.6488941954885,0.9836472762711631
social,income and work,Bottom-40,societalPoverty,2004,2333234325,3107.9157096264053,0.9825190048311081
social,income and work,Bottom-40,societalPoverty,2005,2378349208,3261.5690466070905,0.9814046367490887
social,income and work,Bottom-40,societalPoverty,2006,2423218342,3443.390378950363,0.9804346178248986
social,income and work,Bottom-40,societalPoverty,2007,2468657268,3617.817546211251,0.979658529120645
social,income and work,Bottom-40,societalPoverty,2008,2513881847,3697.1248166000564,0.9786366437189878
social,income and work,Bottom-40,societalPoverty,2009,2559308024,3846.8486850046747,0.975989962650182
social,income and work,Bottom-40,societalPoverty,2010,2606087045,4031.5179748019523,0.9724454745469242
social,income and work,Bottom-40,societalPoverty,2011,2653273258,4205.484918151589,0.9704736522434348
social,income and work,Bottom-40,societalPoverty,2012,2699712562,4307.931155000349,0.9695647280364029
social,income and work,Bottom-40,societalPoverty,2013,2744890513,4464.264962206906,0.9681906608610232
social,income and work,Bottom-40,societalPoverty,2014,2789473928,4677.0135558679485,0.9667838325282527
social,income and work,Bottom-40,societalPoverty,2015,2834464429,4896.494946821535,0.9647233639609162
social,income and work,Bottom-40,societalPoverty,2016,2881056442,5093.263739995784,0.963136404672038
social,income and work,Bottom-40,societalPoverty,2017,2928694123,5321.033159748209,0.9584096762013797
social,income and work,Bottom-40,societalPoverty,2018,2976363554,5542.574462796242,0.9572764016127392
social,income and work,Bottom-40,societalPoverty,2019,3024138146,5689.957997791354,0.95891632323052
social,income and work,Bottom-40,societalPoverty,2020,3072027706,5380.666398289855,0.960096829364263
social,income and work,Bottom-40,societalPoverty,2021,3118108328,5644.883166811784,0.9602217688577624
social,income and work,Bottom-40,societalPoverty,2022,3162808333,5919.2433894163305,0.9603022262605112
social,income and work,Middle-40,societalPoverty,2000,2592751898,7312.098806896094,0.9157565603336787
social,income and work,Middle-40,societalPoverty,2001,2614066024,7539.277300655871,0.9081484636132631
social,income and work,Middle-40,societalPoverty,2002,2634185782,7873.374107295923,0.900148511975068
social,income and work,Middle-40,societalPoverty,2003,2653891228,8260.572976113444,0.8936825706717516
