domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,energy,World,energyAccess,2000,6087113661,11033.593778486846,78.28783323825962
social,energy,World,energyAccess,2001,6168321963,11157.924027657036,78.78120255097002
social,energy,World,energyAccess,2002,6249366588,11289.939082169089,79.17458802042356
social,energy,World,energyAccess,2003,6330239342,11559.495576669653,80.03040886765889
social,energy,World,energyAccess,2004,6411455695,12000.204077563387,80.01849289422564
social,energy,World,energyAccess,2005,6493271134,12388.84340932646,80.77081772319535
social,energy,World,energyAccess,2006,6575894375,12881.718983200612,81.41827539418165
social,energy,World,energyAccess,2007,6659804230,13384.936003439363,82.18775523287417
social,energy,World,energyAccess,2008,6753659772,13554.87644970591,82.7873726913586
social,energy,World,energyAccess,2009,6840172498,13303.153428987966,83.19679364362428
social,energy,World,energyAccess,2010,6927291704,13796.6417931423,83.77660426122861
social,energy,World,energyAccess,2011,7014617158,14181.534053313428,84.82962860732363
social,energy,World,energyAccess,2012,7102957187,14457.278813069257,85.25191983414668
social,energy,World,energyAccess,2013,7191631788,14719.598108524537,86.01107942751365
social,energy,World,energyAccess,2014,7279857340,15050.324979535386,86.49195772674304
social,energy,World,energyAccess,2015,7367243918,15354.313495222154,87.20812332628947
social,energy,World,energyAccess,2016,7453927854,15641.917922024915,88.37028122072833
social,energy,World,energyAccess,2017,7540109842,16060.191327793138,89.19008273094597
social,energy,World,energyAccess,2018,7623892512,16431.285562868605,90.05531018048016
social,energy,World,energyAccess,2019,7704868157,16713.676317093705,90.35545368521483
social,energy,World,energyAccess,2020,7780698402,16015.845882759748,90.63121593105801
social,energy,World,energyAccess,2021,7848869118,16837.8414884704,91.56091142525278
social,energy,World,energyAccess,2022,7914502913,17254.434027524196,91.48794437573036
social,energy,Bottom-40,energyAccess,2000,2390496925,2590.9974391428664,50.72818376074673
social,energy,Bottom-40,energyAccess,2001,2441157194,2663.2031090486253,51.89039004732769
social,energy,Bottom-40,energyAccess,2002,2492714585,2731.9750022323224,52.669605740803256
social,energy,Bottom-40,energyAccess,2003,2544324485,2846.2560997209234,54.96878195345435
social,energy,Bottom-40,energyAccess,2004,2595669620,2992.2508778064066,54.87434401882779
social,energy,Bottom-40,energyAccess,2005,2646943702,3139.9579892205297,57.10594302190414
social,energy,Bottom-40,energyAccess,2006,2698319942,3312.081416215672,58.036604912361426
social,energy,Bottom-40,energyAccess,2007,2749859301,3481.6419270781485,60.03614223100937
social,energy,Bottom-40,energyAccess,2008,2810086898,3550.327833144699,61.26869640933075
social,energy,Bottom-40,energyAccess,2009,2862628786,3690.6612219346785,62.07730180789847
