domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,connectivity,World,internet,2000,6087093935,11033.585774423003,6.475002183129609
social,connectivity,World,internet,2001,6168302135,11157.91575649126,8.000022580544362
social,connectivity,World,internet,2002,6249346737,11289.929672069056,10.57608734220727
social,connectivity,World,internet,2003,6330219462,11559.486218550295,12.231220339112156
social,connectivity,World,internet,2004,6411435788,12000.195241685731,14.106487227283345
social,connectivity,World,internet,2005,6493240985,12388.839510474303,15.555561464062182
social,connectivity,World,internet,2006,6575864462,12881.719735688315,17.220390271465117
social,connectivity,World,internet,2007,6659774597,13384.93597888585,20.269063998902784
social,connectivity,World,internet,2008,6744806539,13570.961438987319,22.811691776218673
social,connectivity,World,internet,2009,6830914212,13319.39295708107,25.354073314498876
social,connectivity,World,internet,2010,6917548504,13814.285959961324,28.54066348768869
social,connectivity,World,internet,2011,7004345585,14200.462225973133,31.003366776034422
social,connectivity,World,internet,2012,7092227193,14478.080076233704,33.48507100875602
social,connectivity,World,internet,2013,7180497258,14741.322797077588,35.475977567074125
social,connectivity,World,internet,2014,7268615320,15072.51447634318,37.659489630735706
social,connectivity,World,internet,2015,7356020640,15376.635099400555,40.052319728753055
social,connectivity,World,internet,2016,7442832496,15664.218221081961,43.083377629337605
social,connectivity,World,internet,2017,7529422097,16081.97926282373,45.41970402330932
social,connectivity,World,internet,2018,7613467395,16452.81448841366,48.45292430709621
social,connectivity,World,internet,2019,7694390443,16735.30646854002,53.09322086270839
social,connectivity,World,internet,2020,7770061888,16036.684720347122,59.17981395975272
social,connectivity,World,internet,2021,7838090311,16859.957675918846,61.82362681490032
social,connectivity,World,internet,2022,7903559026,17277.30407723654,64.1756632841145
social,connectivity,Bottom-40,internet,2000,2390496925,2590.9974391428664,0.47386735390174156
social,connectivity,Bottom-40,internet,2001,2441157194,2663.2031090486253,0.6352049078655113
social,connectivity,Bottom-40,internet,2002,2492714585,2731.9750022323224,1.2954212444783364
social,connectivity,Bottom-40,internet,2003,2544324485,2846.2560997209234,1.7332917935968375
social,connectivity,Bottom-40,internet,2004,2595669620,2992.2508778064066,2.3056456494526194
social,connectivity,Bottom-40,internet,2005,2646943702,3139.9579892205297,2.946687891498898
social,connectivity,Bottom-40,internet,2006,2698319942,3312.081416215672,3.6874314553014558
social,connectivity,Bottom-40,internet,2007,2749859301,3481.6419270781485,4.676304188262903
social,connectivity,Bottom-40,internet,2008,2801263010,3557.5426068377096,5.385455196419497
social,connectivity,Bottom-40,internet,2009,2853399559,3698.437792066154,6.341527861713281
social,connectivity,Bottom-40,internet,2010,2906842753,3868.8517088197127,8.6467267096984
social,connectivity,Bottom-40,internet,2011,2960976348,4034.968290422384,10.414969059680807
social,connectivity,Bottom-40,internet,2012,3014795161,4131.134523193988,11.674499411454745
social,connectivity,Bottom-40,internet,2013,3067628465,4274.915655511126,13.09611196539952
social,connectivity,Bottom-40,internet,2014,3120320679,4474.63224499865,15.035648041220659
social,connectivity,Bottom-40,internet,2015,3173431397,4669.573832281262,16.9813750474846
social,connectivity,Bottom-40,internet,2016,3228284995,4850.334301426057,19.4011179732352
social,connectivity,Bottom-40,internet,2017,3284566129,5051.578902885055,21.558957107870423
social,connectivity,Bottom-40,internet,2018,3340880347,5248.919327118378,24.19003750536395
social,connectivity,Bottom-40,internet,2019,3397294475,5378.856799695747,29.63197589867498
social,connectivity,Bottom-40,internet,2020,3454069185,5089.332126709156,37.4757792146439
