domain,dimension,type,group,grpCode,indicator,indCode,date,populationTotal,GNIperCap,value,boundary,ratio
ecological,climate change,national aggregate,Bottom-40,B40,co2_footprint,CC3,2017,3279187003,5022.645571175445,0.9389036299243086,0.95,-0.01168038955335915
ecological,climate change,national aggregate,Middle-40,M40,co2_footprint,CC3,2017,3183138611,15659.215592343417,4.25670414835964,0.95,3.4807412087996212
ecological,climate change,national aggregate,Top-20,T20,co2_footprint,CC3,2017,985730708,51581.71583482991,11.650508840910334,0.95,11.26369351674772
ecological,nutrient pollution,national aggregate,Bottom-40,B40,P_footprint,NP3,2017,3279187003,5022.645571175445,1.5362494606396042,0.85,0.8073523066348285
ecological,nutrient pollution,national aggregate,Middle-40,M40,P_footprint,NP3,2017,3183138611,15659.215592343417,3.081176999540948,0.85,2.624914117106998
ecological,nutrient pollution,national aggregate,Top-20,T20,P_footprint,NP3,2017,985730708,51581.71583482991,4.16830408734886,0.85,3.903887161586894
ecological,nutrient pollution,national aggregate,Bottom-40,B40,N_footprint,NP4,2017,3279187003,5022.645571175445,10.597805911103135,8.5,0.24680069542389838
ecological,nutrient pollution,national aggregate,Middle-40,M40,N_footprint,NP4,2017,3183138611,15659.215592343417,21.440116459605857,8.5,1.5223666423065714
ecological,nutrient pollution,national aggregate,Top-20,T20,N_footprint,NP4,2017,985730708,51581.71583482991,32.40667971701113,8.5,2.812550554942486
ecological,freshwater disruption,national aggregate,Bottom-40,B40,blueH2O_footprint,FD3,2017,3279187003,5022.645571175445,207.11904184293635,384,-0.4606274952006866
ecological,freshwater disruption,national aggregate,Middle-40,M40,blueH2O_footprint,FD3,2017,3183138611,15659.215592343417,163.0255630802871,384,-0.5754542628117523
ecological,freshwater disruption,national aggregate,Top-20,T20,blueH2O_footprint,FD3,2017,985730708,51581.71583482991,267.10657302661014,384,-0.30440996607653614
ecological,biodiversity breakdown,national aggregate,Bottom-40,B40,species_footprint,BB3,2017,3279187003,5022.645571175445,0.295702190918563,0.51,-0.42019178251262157
ecological,biodiversity breakdown,national aggregate,Middle-40,M40,species_footprint,BB3,2017,3183138611,15659.215592343417,0.6663256202246388,0.51,0.30652082396988
ecological,biodiversity breakdown,national aggregate,Top-20,T20,species_footprint,BB3,2017,985730708,51581.71583482991,1.8609800095204665,0.51,2.648980410824444
ecological,biodiversity breakdown,national aggregate,Bottom-40,B40,hanpp_footprint,BB4,2017,3279187003,5022.645571175445,1.5146478178675444,1.47,0.03037266521601656
ecological,biodiversity breakdown,national aggregate,Middle-40,M40,hanpp_footprint,BB4,2017,3183138611,15659.215592343417,2.0423884628351607,1.47,0.38937990669058564
ecological,biodiversity breakdown,national aggregate,Top-20,T20,hanpp_footprint,BB4,2017,985730708,51581.71583482991,3.0585115205415545,1.47,1.0806200820010576
social,food,national aggregate,Bottom-40,B40,undernourishment,NU1,2017,3221432230,5075.081865253418,13.545855479380982,0,0.13545855479380975
social,food,national aggregate,Middle-40,M40,undernourishment,NU1,2017,3190789331,15681.790137313006,3.910256610075145,0,0.03910256610075158
social,food,national aggregate,Top-20,T20,undernourishment,NU1,2017,1040798359,51443.53601061375,2.6146381976568818,0,0.026146381976568822
social,food,national aggregate,Bottom-40,B40,foodInsecurity,NU2,2017,1510967479,4485.753124017291,40.62228148200931,0,0.40622281482009315
social,food,national aggregate,Middle-40,M40,foodInsecurity,NU2,2017,1592456626,16584.387158034846,17.66445074856312,0,0.17664450748563132
social,food,national aggregate,Top-20,T20,foodInsecurity,NU2,2017,918701011,52252.60106484495,6.663264377968558,0,0.06663264377968559
social,health,national aggregate,Bottom-40,B40,under5death,HE1,2017,3295224355,5037.397493099811,93.59174886894766,0,0.9359174886894766
social,health,national aggregate,Middle-40,M40,under5death,HE1,2017,3193178974,15681.633581815418,12.106414114199913,0,0.12106414114199904
social,health,national aggregate,Top-20,T20,under5death,HE1,2017,1044207105,51666.69831359288,0,0,0
social,health,national aggregate,Bottom-40,B40,UHCindex,HE2,2017,3290523408,5034.241052859113,47.65855800287928,0,0.4765855800287928
social,health,national aggregate,Middle-40,M40,UHCindex,HE2,2017,3193178974,15681.633581815418,9.74087160577677,0,0.0974087160577678
social,health,national aggregate,Top-20,T20,UHCindex,HE2,2017,1044207105,51666.69831359288,0,0,0
social,education,national aggregate,Bottom-40,B40,adultLiteracy,ED1,2017,3217851428,5116.403897247461,29.2537625853556,0,0.292537625853556
social,education,national aggregate,Middle-40,M40,adultLiteracy,ED1,2017,3023019892,15123.739546281267,5.6199912741308395,0,0.05619991274130842
social,education,national aggregate,Top-20,T20,adultLiteracy,ED1,2017,170567750,46663.55175846578,2.4727240718868018,0,0.024727240718868004
social,education,national aggregate,Bottom-40,B40,secondarySchool,ED2,2017,2828009848,5378.558322763215,60.0672725686494,0,0.600672725686494
social,education,national aggregate,Middle-40,M40,secondarySchool,ED2,2017,2935362922,15520.261502828504,30.20750490243347,0,0.3020750490243347
social,education,national aggregate,Top-20,T20,secondarySchool,ED2,2017,852711695,52774.31162598213,11.616528342594876,0,0.11616528342594878
social,income and work,national aggregate,Bottom-40,B40,societalPoverty,IW1,2017,2928694123,5321.033159748209,95.84096762013796,0,0.9584096762013796
social,income and work,national aggregate,Middle-40,M40,societalPoverty,IW1,2017,2963567593,15684.22987542288,70.04689042384864,0,0.7004689042384864
social,income and work,national aggregate,Top-20,T20,societalPoverty,IW1,2017,796456649,53425.63699421007,14.338990246222828,0,0.14338990246222838
social,income and work,national aggregate,Bottom-40,B40,youthNEET,IW2,2017,2642135730,5557.466667592415,27.877404078021797,0,0.27877404078021795
social,income and work,national aggregate,Middle-40,M40,youthNEET,IW2,2017,1697154935,17047.19587307313,20.659490678046627,0,0.20659490678046621
social,income and work,national aggregate,Top-20,T20,youthNEET,IW2,2017,943553307,52222.42927574261,10.015607496132702,0,0.10015607496132706
social,water,national aggregate,Bottom-40,B40,drinkingH2O,WA1,2017,1501059086,4614.770800238382,63.321728258371095,0,0.633217282583711
social,water,national aggregate,Middle-40,M40,drinkingH2O,WA1,2017,1362343261,16635.59021386123,33.23488028092065,0,0.33234880280920653
social,water,national aggregate,Top-20,T20,drinkingH2O,WA1,2017,983025465,51802.57436094083,2.047496799922726,0,0.02047496799922721
social,water,national aggregate,Bottom-40,B40,sanitation,WA2,2017,2744639872,5198.870825564547,64.48957844805724,0,0.6448957844805725
social,water,national aggregate,Middle-40,M40,sanitation,WA2,2017,2771876668,16146.060775853604,43.94765475579808,0,0.4394765475579807
social,water,national aggregate,Top-20,T20,sanitation,WA2,2017,1045991731,51829.88864026748,5.932814561359436,0,0.05932814561359445
social,energy,national aggregate,Bottom-40,B40,energyAccess,EN1,2017,3295224355,5037.397493099811,24.02400524012272,0,0.24024005240122714
social,energy,national aggregate,Middle-40,M40,energyAccess,EN1,2017,3193178974,15681.633581815418,0.7339007424204596,0,0.007339007424204569
social,energy,national aggregate,Top-20,T20,energyAccess,EN1,2017,1051706513,51746.36506086974,0,0,0
social,energy,national aggregate,Bottom-40,B40,energyIndoor,EN2,2017,3290523408,5034.241052859113,60.16762380346817,0,0.6016762380346816
social,energy,national aggregate,Middle-40,M40,energyIndoor,EN2,2017,3173509033,15647.593077924745,15.550509284433474,0,0.15550509284433478
social,energy,national aggregate,Top-20,T20,energyIndoor,EN2,2017,1044207105,51666.69831359288,0,0,0
social,connectivity,national aggregate,Bottom-40,B40,publicTrans,CO1,2017,3463965422,5076.221315554915,64.1488787032491,NA,0.641488787032491
social,connectivity,national aggregate,Middle-40,M40,publicTrans,CO1,2017,3210938372,16382.4446583708,49.453068311538964,NA,0.4945306831153896
social,connectivity,national aggregate,Top-20,T20,publicTrans,CO1,2017,1051353979,50301.26651067256,24.96051592389678,NA,0.24960515923896776
social,connectivity,national aggregate,Bottom-40,B40,internet,CO2,2017,3284566129,5051.578902885055,78.44104289212957,0,0.7844104289212958
