domain,dimension,type,group,grpCode,indicator,indCode,unit,date,value,boundary,shortfallOvershoot_pct
ecological,climate change,national aggregate,Bottom-40,B40,co2_footprint,CC3,tonnes CO2 per capita,2017,0.94,0.95,-1.2
ecological,climate change,national aggregate,Middle-40,M40,co2_footprint,CC3,tonnes CO2 per capita,2017,4.26,0.95,348.1
ecological,climate change,national aggregate,Top-20,T20,co2_footprint,CC3,tonnes CO2 per capita,2017,11.65,0.95,1126.4
ecological,ocean acidification,national aggregate,Bottom-40,B40,omega_a_footprint,OA3,Not available,2017,NA,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,M40,omega_a_footprint,OA3,Not available,2017,NA,NA,NA
ecological,ocean acidification,national aggregate,Top-20,T20,omega_a_footprint,OA3,Not available,2017,NA,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,B40,hzdChemicals_footprint,CP3,Not available,2017,NA,NA,NA
ecological,chemical pollution,national aggregate,Middle-40,M40,hzdChemicals_footprint,CP3,Not available,2017,NA,NA,NA
ecological,chemical pollution,national aggregate,Top-20,T20,hzdChemicals_footprint,CP3,Not available,2017,NA,NA,NA
ecological,nutrient pollution,national aggregate,Bottom-40,B40,P_footprint,NP3,kg P per capita,2017,1.54,0.85,80.7
ecological,nutrient pollution,national aggregate,Middle-40,M40,P_footprint,NP3,kg P per capita,2017,3.08,0.85,262.5
ecological,nutrient pollution,national aggregate,Top-20,T20,P_footprint,NP3,kg P per capita,2017,4.17,0.85,390.4
ecological,nutrient pollution,national aggregate,Bottom-40,B40,N_footprint,NP4,kg N per capita,2017,10.6,8.5,24.7
ecological,nutrient pollution,national aggregate,Middle-40,M40,N_footprint,NP4,kg N per capita,2017,21.44,8.5,152.2
ecological,nutrient pollution,national aggregate,Top-20,T20,N_footprint,NP4,kg N per capita,2017,32.41,8.5,281.3
ecological,air pollution,national aggregate,Bottom-40,B40,airPollution_footprint,AP3,Not available,2017,NA,NA,NA
ecological,air pollution,national aggregate,Middle-40,M40,airPollution_footprint,AP3,Not available,2017,NA,NA,NA
ecological,air pollution,national aggregate,Top-20,T20,airPollution_footprint,AP3,Not available,2017,NA,NA,NA
ecological,freshwater disruption,national aggregate,Bottom-40,B40,blueH2O_footprint,FD3,m3 H2O per capita,2017,207.12,384,-46.1
ecological,freshwater disruption,national aggregate,Middle-40,M40,blueH2O_footprint,FD3,m3 H2O per capita,2017,163.03,384,-57.5
ecological,freshwater disruption,national aggregate,Top-20,T20,blueH2O_footprint,FD3,m3 H2O per capita,2017,267.11,384,-30.4
ecological,land conversion,national aggregate,Bottom-40,B40,land_footprint,LC3,Not available,2017,NA,NA,NA
ecological,land conversion,national aggregate,Middle-40,M40,land_footprint,LC3,Not available,2017,NA,NA,NA
ecological,land conversion,national aggregate,Top-20,T20,land_footprint,LC3,Not available,2017,NA,NA,NA
