domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value,boundary
ecological,climate change,global doughnut,World,co2_ppm,2000,NA,NA,368.96,350
ecological,climate change,global doughnut,World,co2_ppm,2001,NA,NA,370.57,350
ecological,climate change,global doughnut,World,co2_ppm,2002,NA,NA,372.58,350
ecological,climate change,global doughnut,World,co2_ppm,2003,NA,NA,375.14,350
ecological,climate change,global doughnut,World,co2_ppm,2004,NA,NA,376.95,350
ecological,climate change,global doughnut,World,co2_ppm,2005,NA,NA,378.98,350
ecological,climate change,global doughnut,World,co2_ppm,2006,NA,NA,381.15,350
ecological,climate change,global doughnut,World,co2_ppm,2007,NA,NA,382.9,350
ecological,climate change,global doughnut,World,co2_ppm,2008,NA,NA,385.02,350
ecological,climate change,global doughnut,World,co2_ppm,2009,NA,NA,386.5,350
ecological,climate change,global doughnut,World,co2_ppm,2010,NA,NA,388.76,350
ecological,climate change,global doughnut,World,co2_ppm,2011,NA,NA,390.63,350
ecological,climate change,global doughnut,World,co2_ppm,2012,NA,NA,392.65,350
ecological,climate change,global doughnut,World,co2_ppm,2013,NA,NA,395.4,350
ecological,climate change,global doughnut,World,co2_ppm,2014,NA,NA,397.34,350
ecological,climate change,global doughnut,World,co2_ppm,2015,NA,NA,399.65,350
ecological,climate change,global doughnut,World,co2_ppm,2016,NA,NA,403.07,350
ecological,climate change,global doughnut,World,co2_ppm,2017,NA,NA,405.22,350
ecological,climate change,global doughnut,World,co2_ppm,2018,NA,NA,407.61,350
ecological,climate change,global doughnut,World,co2_ppm,2019,NA,NA,410.07,350
ecological,climate change,global doughnut,World,co2_ppm,2020,NA,NA,412.44,350
ecological,climate change,global doughnut,World,co2_ppm,2021,NA,NA,414.7,350
ecological,climate change,global doughnut,World,co2_ppm,2022,NA,NA,417.07,350
ecological,climate change,global doughnut,World,erf_wm2,2000,NA,NA,1.768161509,1
ecological,climate change,global doughnut,World,erf_wm2,2001,NA,NA,1.800168769,1
ecological,climate change,global doughnut,World,erf_wm2,2002,NA,NA,1.769856169,1
ecological,climate change,global doughnut,World,erf_wm2,2003,NA,NA,1.782140571,1
ecological,climate change,global doughnut,World,erf_wm2,2004,NA,NA,1.820539588,1
ecological,climate change,global doughnut,World,erf_wm2,2005,NA,NA,1.818268351,1
ecological,climate change,global doughnut,World,erf_wm2,2006,NA,NA,1.836035212,1
ecological,climate change,global doughnut,World,erf_wm2,2007,NA,NA,1.907146187,1
ecological,climate change,global doughnut,World,erf_wm2,2008,NA,NA,1.989420045,1
ecological,climate change,global doughnut,World,erf_wm2,2009,NA,NA,2.080128136,1
ecological,climate change,global doughnut,World,erf_wm2,2010,NA,NA,2.125213918,1
ecological,climate change,global doughnut,World,erf_wm2,2011,NA,NA,2.170834936,1
ecological,climate change,global doughnut,World,erf_wm2,2012,NA,NA,2.192857836,1
ecological,climate change,global doughnut,World,erf_wm2,2013,NA,NA,2.305792855,1
ecological,climate change,global doughnut,World,erf_wm2,2014,NA,NA,2.345523777,1
ecological,climate change,global doughnut,World,erf_wm2,2015,NA,NA,2.407861829,1
ecological,climate change,global doughnut,World,erf_wm2,2016,NA,NA,2.541620271,1
