domain,dimension,type,group,grpCode,indicator,indCode,date,populationTotal,GNIperCap,value,boundary,ratio
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2000,NA,NA,368.96,350,1.2708571428571425
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2001,NA,NA,370.57,350,1.2938571428571428
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2002,NA,NA,372.58,350,1.3225714285714283
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2003,NA,NA,375.14,350,1.359142857142857
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2004,NA,NA,376.95,350,1.3849999999999998
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2005,NA,NA,378.98,350,1.4140000000000004
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2006,NA,NA,381.15,350,1.4449999999999996
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2007,NA,NA,382.9,350,1.4699999999999998
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2008,NA,NA,385.02,350,1.500285714285714
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2009,NA,NA,386.5,350,1.5214285714285714
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2010,NA,NA,388.76,350,1.5537142857142856
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2011,NA,NA,390.63,350,1.5804285714285713
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2012,NA,NA,392.65,350,1.609285714285714
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2013,NA,NA,395.4,350,1.6485714285714284
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2014,NA,NA,397.34,350,1.676285714285714
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2015,NA,NA,399.65,350,1.7092857142857139
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2016,NA,NA,403.07,350,1.758142857142857
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2017,NA,NA,405.22,350,1.7888571428571431
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2018,NA,NA,407.61,350,1.8230000000000002
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2019,NA,NA,410.07,350,1.858142857142857
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2020,NA,NA,412.44,350,1.892
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2021,NA,NA,414.7,350,1.9242857142857142
ecological,climate change,global doughnut,World,WLD,co2_ppm,CC1,2022,NA,NA,417.07,350,1.958142857142857
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2000,NA,NA,1.768161509,1,1.768161509
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2001,NA,NA,1.800168769,1,1.800168769
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2002,NA,NA,1.769856169,1,1.769856169
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2003,NA,NA,1.782140571,1,1.782140571
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2004,NA,NA,1.820539588,1,1.820539588
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2005,NA,NA,1.818268351,1,1.818268351
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2006,NA,NA,1.836035212,1,1.836035212
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2007,NA,NA,1.907146187,1,1.907146187
ecological,climate change,global doughnut,World,WLD,erf_wm2,CC2,2008,NA,NA,1.989420045,1,1.989420045
